date,corridor,target_source_quote_date,rate,dist_min_10,favourability_percentile_20,ret_5,good,future_regret_bps,centered_benefit_bps
2019-02-07,AMD_RUB,2019-02-07,0.134567,0.004343769824980415,0.95,-0.009356733756386237,True,43.39845578782326,49.21679899601559
2019-02-07,KGS_RUB,2019-02-07,0.941081,0.005045084300111968,0.8,-0.005866047490371229,True,1.3920162026434733,36.6260237404428
2019-02-07,TJS_RUB,2019-02-07,6.963800000000001,0.0047570060151527205,0.8,-0.006506967062848257,True,14.647175392746913,36.650650388087314
2019-02-07,UZS_RUB,2019-02-07,0.00783563,0.004949314098683599,0.8,-0.0063091442644490625,True,24.286496427217394,31.027435598260695
2019-02-12,AMD_RUB,2019-02-12,0.133983,0.0,1.0,-0.004924022993627708,True,0.0,93.04703512485308
2019-02-12,TJS_RUB,2019-02-12,6.9536,0.003285320805733072,0.85,0.0006850064183374638,True,10.224919466175722,56.811275887166204
2019-02-12,UZS_RUB,2019-02-12,0.0078166,0.00250864430604425,0.9,-0.0006737519288865235,True,5.884911598392613,56.73253387933192
2019-02-14,KGS_RUB,2019-02-14,0.94095,0.004905180395938791,0.8,-0.0001392016202643731,True,23.455018863913693,44.852185581150096
2019-02-22,AMD_RUB,2019-02-22,0.134372,0.0029033534105074033,0.85,-0.01476691155983767,True,62.3641830143168,36.97369331606638
2019-02-22,KGS_RUB,2019-02-22,0.939913,0.0,0.85,-0.014221692696070098,True,35.875660832439195,53.423702698241954
2019-02-22,TJS_RUB,2019-02-22,6.94649,0.0,0.95,-0.015591276707607626,True,46.59907377682863,54.18249375694465
2019-02-22,UZS_RUB,2019-02-22,0.007812,0.0,0.9,-0.014719922913059014,True,42.93394777265784,48.49638283480091
2019-03-06,AMD_RUB,2019-03-06,0.134177,0.0048152530441682995,0.85,-0.0004916457468918667,True,7.676427405590525,15.258557424940483
2019-03-07,KZT_RUB,2019-03-07,0.174174,0.004087279854725567,0.8,-0.0025312686122691552,True,96.97199352371744,-12.937566795732408
2019-03-13,KZT_RUB,2019-03-13,0.173997,0.003066901103969233,0.8,-0.0029396596183598467,False,318.22387742317477,-67.93909535775786
2019-03-14,AMD_RUB,2019-03-14,0.134074,0.0,0.9,-0.0007676427405590713,False,228.30675597058402,-28.06593642994373
2019-03-14,KGS_RUB,2019-03-14,0.939132,0.0,0.9,-0.005211577328367523,False,290.7791449977213,-41.15485307729819
2019-03-14,TJS_RUB,2019-03-14,6.955360000000001,0.0,0.8,-0.0032116277836613527,False,291.70308941593373,-54.69130277562136
2019-03-18,UZS_RUB,2019-03-16,0.00781457,0.0,0.8,-0.006015116015802846,False,264.03244196417745,-75.75204064929889
2019-03-19,AMD_RUB,2019-03-19,0.133037,0.0,1.0,-0.01605674220460329,False,152.138126987229,12.24437848964801
2019-03-27,AMD_RUB,2019-03-27,0.132034,0.007793119766740908,0.85,0.000265153523890449,True,0.0,64.17919433072917
2019-03-27,KGS_RUB,2019-03-27,0.919976,0.00894032181649096,0.8,0.0006177888380349827,True,0.0,66.40258650476362
2019-03-27,KZT_RUB,2019-03-27,0.169587,0.006690015433930885,0.9,-0.007711886720692895,True,0.0,65.14667975942092
2019-03-27,TJS_RUB,2019-03-27,6.8047,0.0077349473600032415,0.9,-0.0015128371051544853,True,0.0,71.6294334329701
2019-03-27,UZS_RUB,2019-03-27,0.00766419,0.007353868963124288,0.9,-0.001945532892397961,True,0.0,60.48267195347957
2019-04-10,UZS_RUB,2019-04-10,0.0076669,0.0,0.85,-0.014056976341945582,False,133.60028173055565,23.347135808723777
2019-04-16,KGS_RUB,2019-04-16,0.917813,0.0,0.9,-0.016877167086739142,True,45.78274659435026,52.88096356531843
2019-04-16,KZT_RUB,2019-04-16,0.169213,0.0,0.9,-0.014289375881071487,True,36.46291951564043,40.28760201880954
2019-04-16,TJS_RUB,2019-04-16,6.81303,0.0,0.8,-0.01687736923141292,True,81.3294525343352,29.580877406676862
2019-04-18,AMD_RUB,2019-04-18,0.132227,0.0,0.85,-0.008153682283930985,True,0.0,62.50020130762316
2019-04-22,AMD_RUB,2019-04-20,0.132587,0.0027225906963026514,0.8,-0.00206230571800603,True,20.967364824605763,44.544003203680276
2019-05-28,KGS_RUB,2019-05-28,0.922886,2.817328738924374e-05,0.8,-0.00039101128950325137,True,8.98269125330722,53.10949936833112
2019-05-28,TJS_RUB,2019-05-28,6.832389999999999,0.0007455363027843998,0.8,-0.0009212290658007216,True,0.0,60.87876871990616
2019-05-28,UZS_RUB,2019-05-28,0.00762123,0.0007432142308454459,0.8,-0.0007185273859895425,True,17.72679738047476,41.958016721982254
2019-05-29,KZT_RUB,2019-05-29,0.169564,0.0,0.8,-0.004298398083337318,True,10.438536481799364,36.62351812415229
2019-06-05,KZT_RUB,2019-06-05,0.169614,0.00029487391191529433,0.9,0.00029487391191529433,False,110.42720530144834,0.07299434013201744
2019-06-11,UZS_RUB,2019-06-11,0.00761312,0.0007098053030343277,0.95,-0.014788932888164186,False,242.72571560674177,-1.0772039987907294
2019-06-12,KGS_RUB,2019-06-12,0.922887,0.0,0.85,-0.010707746795930007,False,192.92719477032355,24.770503799187562
2019-06-17,KGS_RUB,2019-06-15,0.920992,0.0,1.0,-0.01171996557622268,False,239.1877453875829,-35.565572932202876
2019-06-17,TJS_RUB,2019-06-15,6.8291,0.0,0.95,-0.011699088559379733,False,291.23896267443797,-52.33468431207915
2019-06-20,AMD_RUB,2019-06-20,0.134058,0.0,1.0,-0.004684866618654748,False,238.8518402482515,-41.75477044507021
2019-07-01,AMD_RUB,2019-06-29,0.132145,0.00985052271198894,0.85,-0.0010054582016661984,True,0.0,37.497890855827215
2019-07-02,KGS_RUB,2019-07-02,0.905397,0.007157135499458844,0.8,0.0038462050185825714,True,32.00805834346653,27.06748476168999
2019-07-12,AMD_RUB,2019-07-12,0.132064,0.0,0.85,-0.007455507455507604,True,24.30639689847256,42.035136879003666
2019-07-12,KGS_RUB,2019-07-12,0.902499,0.0,0.9,-0.009264077247847835,True,4.8421106283776565,54.77188604605615
2019-07-12,KZT_RUB,2019-07-12,0.164339,0.0,1.0,-0.006925098951566455,True,62.67532356896434,20.894387344233092
2019-07-12,TJS_RUB,2019-07-12,6.67667,0.0,0.85,-0.005922771702313034,True,23.51471616838774,37.33103493114298
2019-07-12,UZS_RUB,2019-07-12,0.00734555,0.0,0.9,-0.006837368782550812,True,35.91289964672533,38.610450006441766
2019-07-16,KGS_RUB,2019-07-16,0.902701,0.00022382296268474988,0.8,-0.014192467595722125,True,7.0787558671137525,44.179766620628854
2019-07-16,TJS_RUB,2019-07-16,6.66257,0.0,0.9,-0.01631170595226672,True,2.4014757068202446,53.896244131923694
2019-07-24,UZS_RUB,2019-07-24,0.00731972,7.51451325764485e-05,0.9,7.51451325764485e-05,True,6.380025465454992,27.63525050491471
2019-07-29,KZT_RUB,2019-07-27,0.163913,0.003698510186211479,0.8,0.003698510186211479,True,0.0,75.60269231157571
2019-07-31,UZS_RUB,2019-07-31,0.00731505,0.0,1.0,-0.0006380025465454464,True,0.0,100.0435591239242
2019-08-19,UZS_RUB,2019-08-17,0.00732172,0.0,0.85,-0.023570173075538214,False,480.29697939828367,-55.478526571010306
2019-08-26,TJS_RUB,2019-08-24,6.76685,0.0,0.8,-0.03310409471703346,True,0.0,163.95978698247507
2019-09-06,TJS_RUB,2019-09-06,6.81835,0.007610631239055143,0.85,-0.010657593081633387,False,239.45676006658474,-23.573208027714365
2019-09-06,UZS_RUB,2019-09-06,0.00702689,0.0051179283404210185,0.9,-0.010403111779584195,False,239.45159238297447,-18.595867399448377
2019-09-10,AMD_RUB,2019-09-10,0.137535,0.0,0.9,-0.01632836973780205,False,266.7684589377233,-9.33967299015148
2019-09-10,KGS_RUB,2019-09-10,0.936718,0.0,0.95,-0.02072977072741855,False,265.8324063378739,1.2859867900169897
2019-09-10,KZT_RUB,2019-09-10,0.16953,0.0,0.85,-0.01199384572347717,False,234.2358284669365,-24.627018649628965
2019-09-20,KGS_RUB,2019-09-20,0.917967,0.0067447744448720925,0.95,-0.01431548836624974,True,82.24696530485242,29.005268813779452
2019-10-14,KZT_RUB,2019-10-12,0.164835,0.0,0.95,-0.01404449016945497,True,99.00809900810036,26.54758382124323
2019-10-14,UZS_RUB,2019-10-12,0.00680336,0.0,0.8,-0.013967213209792328,True,91.88107052985583,37.389453425310066
2019-10-16,AMD_RUB,2019-10-16,0.134565,0.0,0.8,-0.01110408889150194,True,71.71255527068656,22.868001110037437
2019-10-18,KGS_RUB,2019-10-18,0.914635,0.0,0.85,-0.011161575810387236,True,52.38155111055219,31.288244214904385
2019-10-18,TJS_RUB,2019-10-18,6.606229999999999,0.0,0.85,-0.011232877532448837,True,59.489300251426485,27.492700373919476
2019-10-18,UZS_RUB,2019-10-18,0.00678119,0.0,0.95,-0.012803640630413726,True,59.48808394986822,31.62886926722492
2019-10-28,AMD_RUB,2019-10-26,0.134094,0.00369760479041914,0.8,-0.0017494360860277336,False,106.56703506495339,-4.99899274026961
