scope,events,events_per_corridor_week,good_rate,good_rate_ci95_low,good_rate_ci95_high,matched_baseline_good_rate,lift_vs_matched_random_effective_update,mean_centered_benefit_bps,mean_centered_benefit_bps_ci95_low,mean_centered_benefit_bps_ci95_high,median_future_regret_bps
all,550,0.278731684981685,0.5672727272727273,0.525539937267322,0.6080722724330689,0.3292685409861757,1.7228269836338364,59.075765718548574,49.842117507443675,68.87854769489505,81.78820891959381
AMD_RUB,106,0.26859598734598733,0.5660377358490566,0.47101182829146454,0.6564444360018451,0.32956543020823376,1.717527640843305,52.65783263262908,32.320156010031695,73.82355065068083,79.48009068984985
KGS_RUB,111,0.2812656093906094,0.5765765765765766,0.4836090869599066,0.6644208952068344,0.3349794701224235,1.7212295916697748,65.6139372023522,43.45965756788703,91.63000478079368,75.97691967892571
KZT_RUB,118,0.29900308025308026,0.5932203389830508,0.503005656466807,0.677556647376872,0.32808601710712515,1.8081244187537417,70.36415604553964,48.3074623114857,94.30522515099352,72.72103535857224
TJS_RUB,105,0.2660620629370629,0.5428571428571428,0.44774271222406536,0.6349462596396338,0.3352441063725173,1.6192891464404437,59.802809848255144,39.03558000276336,82.3559515111331,90.724455948
UZS_RUB,110,0.278731684981685,0.5545454545454546,0.4613851929493401,0.644024428840937,0.3187841778998164,1.739563921267543,45.85934917492244,29.484128593455946,63.449246831612164,86.55536936895973
train_through_2023-12-20,344,0.2693722665294571,0.5726744186046512,0.51987813312767,0.6238654559082591,0.36181811714408474,1.5827687765469145,58.92311297004196,45.95633527640549,71.73336714795894,82.72071419881169
validation_2024-01-11_2024-12-20,65,0.26544331395348836,0.6,0.47855778499746787,0.71028152146839,0.28603749191984484,2.097627118644068,69.30383775088589,43.12784538538194,98.34611084648024,79.41256534229544
test_from_2025-01-11,132,0.3153649921507064,0.5151515151515151,0.4306772655530051,0.5987687951529936,0.26327029345462527,1.9567400043191796,49.61019704117651,34.63771955014626,64.23649513356331,86.54464755772963
