signal_id,signal_name,events,events_per_corridor_year,events_per_corridor_week,median_gap_days,p25_gap_days,p75_gap_days,share_gap_le_7d,min_events_per_corridor,max_events_per_corridor,favorable_direction_share,median_signal_magnitude_bps,p25_signal_magnitude_bps,p75_signal_magnitude_bps,median_events_per_corridor_year_cell,min_events_per_corridor_year_cell,max_events_per_corridor_year_cell,yearly_count_cv,good_rate,good_rate_ci95_low,good_rate_ci95_high,matched_baseline_good_rate,lift_vs_matched_random_day,favorable_events,favorable_good_rate,favorable_matched_baseline_good_rate,favorable_lift_vs_matched_random_day,median_future_regret_bps,median_centered_benefit_bps
M01,Заметное изменение за пять обновлений,746,19.659199134199135,0.37806152181152186,12.0,7.0,23.0,0.291497975708502,146,151,0.48927613941018766,276.76558247551,199.56983167389808,368.3003639507096,18.5,11,25,0.19410726967407751,0.23994638069705093,0.21068283101301927,0.2718745517728918,0.3110257450353985,0.7714679074870221,365,0.4876712328767123,0.3221208415418337,1.5139387769585804,78.61127106116503,7.313465373491853
M02,Заметное изменение после спокойного периода,97,2.556222943722944,0.04915813353313354,58.0,28.75,102.75,0.010869565217391304,14,24,0.5876288659793815,99.0739320883538,66.98900819252617,130.6670364199114,3.0,1,9,0.6453775369993604,0.3917525773195876,0.30051137678779105,0.4912412332461631,0.39153865210973887,1.0005463706040159,57,0.49122807017543857,0.3945967260383481,1.2448863301711721,62.67532356896434,9.818542503055905
M03,Возвращение к уровню пяти обновлений назад,425,11.199945887445887,0.21538357475857478,22.0,8.0,42.0,0.23095238095238096,79,93,0.5505882352941176,13.939352391398874,6.596380831052073,19.004231997213907,11.0,3,20,0.40478023800437074,0.2611764705882353,0.2216846448612393,0.3049470998202468,0.2924450810401062,0.8930786924483004,234,0.33760683760683763,0.2989432375726872,1.1293342520409062,76.30804202151592,5.416440634254301
M04,Пять обновлений в узком диапазоне,277,7.299729437229437,0.14037941225441225,30.0,13.0,56.0,0.09191176470588236,51,59,0.5631768953068592,39.6462624776417,32.20248482079365,45.178444704121894,7.0,1,18,0.6963020723900067,0.4620938628158845,0.4042999824632474,0.520924770564794,0.36670387132939686,1.260128127746986,156,0.5256410256410257,0.3881987718903129,1.354051232778108,56.50931640081189,7.88342381723862
