signal_id,corridor,events,events_per_year,good_rate,good_rate_ci95_low,good_rate_ci95_high,matched_baseline_good_rate,lift_vs_matched_random_day,favorable_events,favorable_good_rate,favorable_lift_vs_matched_random_day,median_future_regret_bps,median_centered_benefit_bps
M01,AMD_RUB,150,19.76461038961039,0.20666666666666667,0.1495880352139403,0.27839503308488134,0.3044088754701482,0.6789114356389171,65,0.47692307692307695,1.5424883707074135,75.33981867572848,0.10852854406752843
M01,KGS_RUB,148,19.501082251082252,0.2635135135135135,0.19916966041712642,0.3398236062502427,0.3099115328986028,0.8502862447514341,75,0.5066666666666667,1.551034138710984,80.71264480829089,11.49813443897568
M01,KZT_RUB,146,19.237554112554115,0.2876712328767123,0.22042903910602474,0.36580068615051287,0.33385876659482705,0.8616554712964354,74,0.5675675675675675,1.6376914064781665,77.43715190835746,3.165285498295441
M01,TJS_RUB,151,19.896374458874458,0.23178807947019867,0.1716442991236911,0.30524046569403224,0.31022408745104524,0.7471633855858336,72,0.4861111111111111,1.5358178105150957,76.37529897803996,4.183194547482961
M01,UZS_RUB,151,19.896374458874458,0.2119205298013245,0.15430213184933153,0.28383335628822326,0.2974155660856902,0.7125401423685632,79,0.4050632911392405,1.3038920409028727,84.61559329741213,13.452344515606129
M02,AMD_RUB,22,2.8988095238095237,0.2727272727272727,0.1315058201581444,0.4815212369900198,0.3417584452012974,0.7980118020686658,14,0.35714285714285715,1.0882729663331963,56.15862094999903,22.263682999660332
M02,KGS_RUB,19,2.5035173160173163,0.42105263157894735,0.2314162039203038,0.6372444853483988,0.37565477390186114,1.1208499421038804,12,0.5,1.3587191504865133,59.358661673888015,17.376335178825325
M02,KZT_RUB,24,3.1623376623376624,0.4166666666666667,0.24467347246538232,0.6116566235061137,0.4420172239012586,0.9426480330091053,11,0.5454545454545454,1.1447769918108468,59.22053630284301,-1.0820688942608214
M02,TJS_RUB,18,2.3717532467532467,0.4444444444444444,0.24559231101389126,0.6628393057174837,0.3904949868257445,1.138156594678063,12,0.5,1.2400327689787003,72.57740377201972,4.9369986255629605
M02,UZS_RUB,14,1.8446969696969697,0.42857142857142855,0.21380509930400526,0.6740973309713064,0.40612854425622646,1.0552605440632188,8,0.625,1.4697768681874088,57.98304068237332,16.21572105818504
M03,AMD_RUB,79,10.409361471861473,0.2911392405063291,0.20251853322056734,0.39913087963480964,0.2979111399296101,0.9772687270946597,39,0.28205128205128205,0.9690299154474602,53.33654758855422,11.852015324529008
M03,KGS_RUB,86,11.331709956709958,0.2558139534883721,0.1754295012969836,0.35708105060770196,0.293300121143252,0.8721917757525538,49,0.3469387755102041,1.1569503654085538,93.05769603828267,-2.3284539239161224
M03,KZT_RUB,93,12.254058441558442,0.26881720430107525,0.1892118216186081,0.36676412260370955,0.28673309518066953,0.9375171852125911,51,0.39215686274509803,1.283389269286046,69.83037491705451,15.412177442404113
M03,TJS_RUB,83,10.93641774891775,0.25301204819277107,0.1718510550063121,0.3560249859694415,0.30571931485105724,0.8275958891116693,45,0.3333333333333333,1.0874016703696014,76.43779059672393,2.308984732357362
M03,UZS_RUB,84,11.068181818181818,0.23809523809523808,0.15974570781689024,0.3393526692618514,0.27963676172435975,0.8514446978538913,50,0.32,1.1012253609244615,72.41910616676503,1.3370110842258025
M04,AMD_RUB,59,7.774080086580087,0.4067796610169492,0.29088843022555855,0.534068286344357,0.3285269644021064,1.2381926145917936,27,0.4444444444444444,1.3236076409042643,53.81170112298677,-6.177961649833732
M04,KGS_RUB,53,6.983495670995671,0.4339622641509434,0.30950190698960345,0.5673488502023123,0.35846448848197054,1.2106143790942632,30,0.5,1.3495867233579257,56.50931640081189,4.67958459519954
M04,KZT_RUB,58,7.642316017316018,0.5689655172413793,0.44117876705727427,0.6881839919916508,0.4457761321684429,1.2763480953403479,37,0.6486486486486487,1.3931164112221166,46.70335101217721,15.122004764004986
M04,TJS_RUB,56,7.378787878787879,0.4642857142857143,0.34019643403583766,0.5929604334275992,0.34487265941864803,1.3462525996359378,29,0.5517241379310345,1.449470661070591,58.959225855113644,9.094799654239232
M04,UZS_RUB,51,6.719967532467533,0.43137254901960786,0.30501028092334304,0.5673493876494193,0.3534780191325537,1.2203659794128354,33,0.45454545454545453,1.2384116611749263,75.51576032107465,9.642922493053332
