date,corridor,target_source_quote_date,signal_id,signal_name,rate,ret_1,ret_5,abs_ret1_q80_prev60,abs_ret5_q80_prev60,rate_lag_5,range_5,range_6,event_gap_days,good,future_regret_bps,centered_benefit_bps,signal_magnitude_bps
2019-01-25,KZT_RUB,2019-01-25,M04,Пять обновлений в узком диапазоне,0.174802,-0.0020780288412133308,-0.006914026326703349,,,,0.00475107670133658,,,False,171.50833514490685,-20.207788364978974,47.5107670133658
2019-02-07,TJS_RUB,2019-02-07,M04,Пять обновлений в узком диапазоне,6.963800000000001,0.0020490505873753673,-0.006506967062848257,,,7.00941,0.004743075498195647,0.011288786347722726,,True,14.647175392746913,36.650650388087314,47.430754981956476
2019-02-07,UZS_RUB,2019-02-07,M04,Пять обновлений в узком диапазоне,0.00783563,0.003999015942248052,-0.0063091442644490625,,,0.00788538,0.004935791226902865,0.011282874591372699,,True,24.286496427217394,31.027435598260695,49.357912269028645
2019-02-08,AMD_RUB,2019-02-08,M04,Пять обновлений в узком диапазоне,0.135038,0.003500115184257746,0.00785908870395935,,,0.133985,0.0034954707308131254,0.007822075635682914,,True,78.12615708171037,18.447476433799963,34.954707308131255
2019-02-14,AMD_RUB,2019-02-14,M03,Возвращение к уровню пяти обновлений назад,0.134559,0.0021075992731389714,-5.9449939435185506e-05,,,0.134567,0.010849547007277721,0.010850795984982809,,True,37.08410437057346,45.479381212681844,0.5944993943518551
2019-02-21,TJS_RUB,2019-02-21,M03,Возвращение к уровню пяти обновлений назад,6.976059999999999,-0.006313048581416014,0.0021447667260916514,,,6.96113,0.013094793613645272,0.015243325285236345,,True,88.78937394460341,13.807787903219696,21.447667260916514
2019-03-05,AMD_RUB,2019-03-05,M04,Пять обновлений в узком диапазоне,0.134483,0.0008409615241498081,0.007106804259589206,0.005309509188671013,0.010955573565166077,0.133534,0.0017861262642424234,0.007069963334032629,25.0,True,30.41276592580421,-8.235822354300614,17.861262642424233
2019-03-05,KGS_RUB,2019-03-05,M04,Пять обновлений в узком диапазоне,0.943983,-0.000429907591045664,0.007946261829434142,0.005510017348894447,0.009842399853901895,0.936541,0.003552271790639558,0.009467728042296687,,True,74.0479436600029,-12.146714328924007,35.52271790639558
2019-03-05,TJS_RUB,2019-03-05,M04,Пять обновлений в узком диапазоне,6.977259999999999,0.0006023180640923886,0.009132037048821706,0.005877826823948773,0.009454590117810913,6.91412,0.004124862277503426,0.00996747166846726,26.0,True,59.79424587875435,-13.453558365725025,41.24862277503426
2019-03-06,UZS_RUB,2019-03-06,M04,Пять обновлений в узком диапазоне,0.00783995,0.000636889020492637,0.003994232118800012,0.0054042697067948845,0.010463919154504975,0.00780876,0.002965736050001879,0.0050768691533592605,27.0,True,32.3726554378538,-5.339983183336004,29.65736050001879
