corridor,date,rate_t,good_day_candidate,window_closing_candidate,positive_market_fact_candidate,suppressed_by_priority,suppressed_by_cooldown,deferred_1d,final_push,final_push_type,final_push_reason
AMD_RUB,2025-01-01,0.256456,True,False,False,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-01-02,0.256456,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-03,0.256456,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-06,0.256456,True,False,False,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-01-07,0.256456,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-08,0.256456,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-09,0.256456,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-10,0.257758,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-13,0.256815,True,False,False,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-01-14,0.258567,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-15,0.260038,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-01-16,0.258253,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-17,0.257162,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-20,0.256715,True,False,True,True,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-01-21,0.255764,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-22,0.250547,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-23,0.246477,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-24,0.24844,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-27,0.246293,True,False,True,True,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-01-28,0.24383,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-29,0.245923,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-30,0.246096,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-31,0.246296,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-02-03,0.246158,True,False,False,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-02-04,0.251753,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-02-05,0.248377,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-02-06,0.247253,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-02-07,0.244211,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-10,0.245176,True,False,False,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-02-11,0.244146,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-12,0.241596,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-13,0.237161,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-14,0.229633,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-17,0.227762,True,False,True,True,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-02-18,0.230669,False,True,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-19,0.230522,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-20,0.228512,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-21,0.223901,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-24,0.223543,False,False,True,False,False,False,True,positive_market_fact,POSITIVE_MARKET_FACT
AMD_RUB,2025-02-25,0.223931,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-26,0.220129,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-27,0.218363,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-28,0.222999,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-03,0.224372,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-03-04,0.2267,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-03-05,0.22659,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-03-06,0.227714,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-03-07,0.227007,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-03-10,0.225901,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-03-11,0.223918,True,False,True,True,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-03-12,0.219691,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-13,0.220173,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-14,0.22055,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-17,0.218434,True,False,True,True,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-03-18,0.21488,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-19,0.208146,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-20,0.211581,False,True,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-21,0.215152,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-24,0.215621,False,False,True,False,False,False,True,positive_market_fact,POSITIVE_MARKET_FACT
AMD_RUB,2025-03-25,0.214056,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-26,0.214888,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-03-27,0.214922,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-03-28,0.213968,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-31,0.213696,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-04-01,0.218342,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-04-02,0.217005,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-04-03,0.216158,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-04-04,0.215637,False,False,True,False,False,False,True,positive_market_fact,POSITIVE_MARKET_FACT
AMD_RUB,2025-04-07,0.215422,True,False,True,True,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-04-08,0.220354,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-04-09,0.218573,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-04-10,0.219747,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-04-11,0.217387,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-04-14,0.214806,True,False,False,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-04-15,0.211724,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-04-16,0.210659,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-04-17,0.21108,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-04-18,0.209802,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-04-21,0.207565,False,False,True,False,False,False,True,positive_market_fact,POSITIVE_MARKET_FACT
AMD_RUB,2025-04-22,0.206806,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-04-23,0.208807,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-04-24,0.211428,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-04-25,0.212691,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-04-28,0.211756,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-04-29,0.211952,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-04-30,0.209428,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-05-01,0.208989,False,True,True,True,False,False,True,window_closing,WINDOW_CLOSING
AMD_RUB,2025-05-02,0.208989,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-05-05,0.208989,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-05-06,0.210326,True,False,False,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-05-07,0.207889,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-05-08,0.20772,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-05-09,0.20772,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-05-12,0.20772,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-05-13,0.208014,False,False,True,False,False,False,True,positive_market_fact,POSITIVE_MARKET_FACT
AMD_RUB,2025-05-14,0.20756,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-05-15,0.206767,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-05-16,0.20756,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-05-19,0.209067,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-05-20,0.208218,True,False,False,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-05-21,0.208634,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-05-22,0.207118,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-05-23,0.207407,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-05-26,0.207705,True,False,False,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-05-27,0.207369,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-05-28,0.207143,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-05-29,0.207107,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-05-30,0.204339,False,False,True,False,True,False,False,none,COOLDOWN
