date,corridor,rate,ret_1,ret_2,ret_3,ret_5,ret_10,ret_20,log_ret_1,sma_5,dist_sma_5,sma_10,dist_sma_10,sma_20,dist_sma_20,sma_60,dist_sma_60,sma_5_vs_20,sma_20_vs_60,rolling_min_10,rolling_max_10,dist_min_10,dist_max_10,rolling_min_20,rolling_max_20,dist_min_20,dist_max_20,rolling_min_60,rolling_max_60,dist_min_60,dist_max_60,rolling_min_90,rolling_max_90,dist_min_90,dist_max_90,rolling_min_180,rolling_max_180,dist_min_180,dist_max_180,rolling_min_365,rolling_max_365,dist_min_365,dist_max_365,percentile_20,favourability_percentile_20,percentile_60,favourability_percentile_60,percentile_90,favourability_percentile_90,percentile_180,favourability_percentile_180,percentile_365,favourability_percentile_365,mom_3,mom_5,mom_10,mom_20,down_streak,up_streak,vol_5,vol_10,vol_20,vol_60,rolling_range_10,rolling_range_20,rolling_range_60
2019-01-10,AMD_RUB,0.13828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
2019-01-11,AMD_RUB,0.137743,-0.003883424934914559,,,,,,-0.0038909850085265957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,
2019-01-12,AMD_RUB,0.137689,-0.0003920344409515941,-0.004273936939542811,,,,,-0.0003921113065430028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,
2019-01-15,AMD_RUB,0.138113,0.003079403583438056,0.002686161910224083,-0.00120769453283176,,,,0.0030746719315118414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00120769453283176,,,,0,1,,,,,,,
2019-01-16,AMD_RUB,0.137802,-0.002251779340105564,0.0008206901059635285,0.00042833392622498856,,,,-0.002254318407532981,0.1379254,-0.0008946865479454447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00042833392622498856,,,,1,0,,,,,,,
2019-01-17,AMD_RUB,0.13737,-0.0031349327295686624,-0.005379652892921194,-0.0023168154318792267,-0.006580850448365538,,,-0.0031398569252192587,0.13774340000000002,-0.002710837688049139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0023168154318792267,-0.006580850448365538,,,2,0,0.0027824859159729064,,,,,,
2019-01-18,AMD_RUB,0.136856,-0.003741719443837721,-0.006864922134656948,-0.009101243184928332,-0.006439528687483209,,,-0.0037487371871229307,0.137566,-0.005161159007312732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009101243184928332,-0.006439528687483209,,,3,0,0.002750173309695653,,,,,,
2019-01-19,AMD_RUB,0.136737,-0.0008695270941719846,-0.0046079930115745515,-0.00772847999303361,-0.006914132574134535,,,-0.0008699053521419991,0.13737560000000001,-0.004648569323810192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00772847999303361,-0.006914132574134535,,,4,0,0.002719211856460878,,,,,,
2019-01-22,AMD_RUB,0.136691,-0.0003364122366293909,-0.0012056468112467966,-0.004942855062968543,-0.010295917111350916,,,-0.0003364688359200198,0.13709120000000002,-0.0029192245745899292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004942855062968543,-0.010295917111350916,,,5,0,0.0014527631446764912,,,,,,
2019-01-23,AMD_RUB,0.137075,0.002809255912971542,0.0024718986082772343,0.0016002221312911846,-0.005275685403695163,,,0.002805317328183412,0.1369458,0.0009434389371560936,0.13743560000000002,-0.0026237743350341347,,,,,,,0.136691,0.13828,0.002809255912971542,-0.008714203066242265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016002221312911846,-0.005275685403695163,,,0,1,0.0026007403964265247,,,,0.01156177875310312,,
2019-01-24,AMD_RUB,0.136555,-0.0037935436804668043,-0.0009949448025107221,-0.001331022327533793,-0.0059328819975248415,-0.012474689036736875,,-0.0038007574168229894,0.1367828,-0.0016654140725296251,0.13726310000000003,-0.005158706163564841,,,,,,,0.136555,0.138113,0.0,-0.011280618044644641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001331022327533793,-0.0059328819975248415,-0.012474689036736875,,1,0,0.002745757036136175,0.002607002429114338,,,0.011350464910088754,,
2019-01-25,AMD_RUB,0.136114,-0.0032294679799348414,-0.007010760532555116,-0.004221199640064066,-0.005421757175425257,-0.011826372302040644,,-0.003234693966121495,0.13663440000000002,-0.0038087041037981884,0.1371002,-0.007193279076179282,,,,,,,0.136114,0.138113,0.0,-0.0144736556298104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004221199640064066,-0.005421757175425257,-0.011826372302040644,,2,0,0.002633326296349252,0.0025406969308093916,,,0.014580576833585952,,
