corridor,policy,month,n_signals,n_hits,mean_favourability_signal,hit_rate
KZT_RUB,POLICY_C_MORE_FREQUENT,2026-05,4,0,0.9375,0.0
KZT_RUB,POLICY_C_MORE_FREQUENT,2026-06,0,0,,
KZT_RUB,POLICY_C_MORE_FREQUENT,2026-07,0,0,,
KZT_RUB,POLICY_C_MORE_FREQUENT,2026-08,0,0,,
TJS_RUB,POLICY_A_STRICT,2025-07,0,0,,
TJS_RUB,POLICY_A_STRICT,2025-08,2,0,0.825,0.0
TJS_RUB,POLICY_A_STRICT,2025-09,0,0,,
TJS_RUB,POLICY_A_STRICT,2025-10,4,2,0.9,0.5
TJS_RUB,POLICY_A_STRICT,2025-11,2,0,0.825,0.0
TJS_RUB,POLICY_A_STRICT,2025-12,2,0,0.875,0.0
TJS_RUB,POLICY_A_STRICT,2026-01,4,1,0.9,0.25
TJS_RUB,POLICY_A_STRICT,2026-02,2,2,0.975,1.0
TJS_RUB,POLICY_A_STRICT,2026-03,0,0,,
TJS_RUB,POLICY_A_STRICT,2026-04,5,2,0.9400000000000001,0.4
TJS_RUB,POLICY_A_STRICT,2026-05,2,1,1.0,0.5
TJS_RUB,POLICY_A_STRICT,2026-06,0,0,,
TJS_RUB,POLICY_A_STRICT,2026-07,0,0,,
TJS_RUB,POLICY_A_STRICT,2026-08,0,0,,
TJS_RUB,POLICY_B_BALANCED,2025-07,0,0,,
TJS_RUB,POLICY_B_BALANCED,2025-08,2,0,0.825,0.0
TJS_RUB,POLICY_B_BALANCED,2025-09,0,0,,
TJS_RUB,POLICY_B_BALANCED,2025-10,4,2,0.9,0.5
TJS_RUB,POLICY_B_BALANCED,2025-11,3,0,0.7833333333333333,0.0
TJS_RUB,POLICY_B_BALANCED,2025-12,2,0,0.875,0.0
TJS_RUB,POLICY_B_BALANCED,2026-01,4,1,0.9,0.25
TJS_RUB,POLICY_B_BALANCED,2026-02,2,2,0.975,1.0
TJS_RUB,POLICY_B_BALANCED,2026-03,0,0,,
TJS_RUB,POLICY_B_BALANCED,2026-04,5,2,0.9400000000000001,0.4
TJS_RUB,POLICY_B_BALANCED,2026-05,2,1,1.0,0.5
TJS_RUB,POLICY_B_BALANCED,2026-06,0,0,,
TJS_RUB,POLICY_B_BALANCED,2026-07,0,0,,
TJS_RUB,POLICY_B_BALANCED,2026-08,0,0,,
TJS_RUB,POLICY_C_MORE_FREQUENT,2025-07,0,0,,
TJS_RUB,POLICY_C_MORE_FREQUENT,2025-08,2,0,0.825,0.0
TJS_RUB,POLICY_C_MORE_FREQUENT,2025-09,0,0,,
TJS_RUB,POLICY_C_MORE_FREQUENT,2025-10,4,2,0.9,0.5
TJS_RUB,POLICY_C_MORE_FREQUENT,2025-11,3,0,0.7833333333333333,0.0
TJS_RUB,POLICY_C_MORE_FREQUENT,2025-12,2,0,0.875,0.0
TJS_RUB,POLICY_C_MORE_FREQUENT,2026-01,4,1,0.9,0.25
TJS_RUB,POLICY_C_MORE_FREQUENT,2026-02,2,2,0.975,1.0
TJS_RUB,POLICY_C_MORE_FREQUENT,2026-03,0,0,,
TJS_RUB,POLICY_C_MORE_FREQUENT,2026-04,5,2,0.9400000000000001,0.4
TJS_RUB,POLICY_C_MORE_FREQUENT,2026-05,2,1,1.0,0.5
TJS_RUB,POLICY_C_MORE_FREQUENT,2026-06,0,0,,
TJS_RUB,POLICY_C_MORE_FREQUENT,2026-07,0,0,,
TJS_RUB,POLICY_C_MORE_FREQUENT,2026-08,0,0,,
UZS_RUB,POLICY_A_STRICT,2025-07,2,1,0.8999999999999999,0.5
UZS_RUB,POLICY_A_STRICT,2025-08,0,0,,
UZS_RUB,POLICY_A_STRICT,2025-09,0,0,,
UZS_RUB,POLICY_A_STRICT,2025-10,3,1,0.8666666666666667,0.3333333333333333
UZS_RUB,POLICY_A_STRICT,2025-11,2,0,0.8999999999999999,0.0
UZS_RUB,POLICY_A_STRICT,2025-12,2,1,0.925,0.5
UZS_RUB,POLICY_A_STRICT,2026-01,3,0,0.9333333333333332,0.0
UZS_RUB,POLICY_A_STRICT,2026-02,0,0,,
UZS_RUB,POLICY_A_STRICT,2026-03,0,0,,
UZS_RUB,POLICY_A_STRICT,2026-04,3,1,0.9166666666666666,0.3333333333333333
UZS_RUB,POLICY_A_STRICT,2026-05,2,0,1.0,0.0
UZS_RUB,POLICY_A_STRICT,2026-06,0,0,,
UZS_RUB,POLICY_A_STRICT,2026-07,0,0,,
UZS_RUB,POLICY_A_STRICT,2026-08,0,0,,
UZS_RUB,POLICY_B_BALANCED,2025-07,2,1,0.8999999999999999,0.5
UZS_RUB,POLICY_B_BALANCED,2025-08,0,0,,
UZS_RUB,POLICY_B_BALANCED,2025-09,0,0,,
UZS_RUB,POLICY_B_BALANCED,2025-10,3,0,0.8166666666666668,0.0
UZS_RUB,POLICY_B_BALANCED,2025-11,2,0,0.8999999999999999,0.0
UZS_RUB,POLICY_B_BALANCED,2025-12,2,1,0.925,0.5
UZS_RUB,POLICY_B_BALANCED,2026-01,3,0,0.9333333333333332,0.0
UZS_RUB,POLICY_B_BALANCED,2026-02,0,0,,
UZS_RUB,POLICY_B_BALANCED,2026-03,0,0,,
UZS_RUB,POLICY_B_BALANCED,2026-04,3,0,0.9,0.0
UZS_RUB,POLICY_B_BALANCED,2026-05,2,0,1.0,0.0
UZS_RUB,POLICY_B_BALANCED,2026-06,0,0,,
UZS_RUB,POLICY_B_BALANCED,2026-07,0,0,,
UZS_RUB,POLICY_B_BALANCED,2026-08,0,0,,
UZS_RUB,POLICY_C_MORE_FREQUENT,2025-07,2,1,0.8999999999999999,0.5
UZS_RUB,POLICY_C_MORE_FREQUENT,2025-08,0,0,,
UZS_RUB,POLICY_C_MORE_FREQUENT,2025-09,0,0,,
UZS_RUB,POLICY_C_MORE_FREQUENT,2025-10,3,0,0.8166666666666668,0.0
UZS_RUB,POLICY_C_MORE_FREQUENT,2025-11,2,0,0.8999999999999999,0.0
UZS_RUB,POLICY_C_MORE_FREQUENT,2025-12,2,1,0.925,0.5
UZS_RUB,POLICY_C_MORE_FREQUENT,2026-01,3,0,0.9333333333333332,0.0
UZS_RUB,POLICY_C_MORE_FREQUENT,2026-02,0,0,,
UZS_RUB,POLICY_C_MORE_FREQUENT,2026-03,0,0,,
UZS_RUB,POLICY_C_MORE_FREQUENT,2026-04,3,0,0.9,0.0
UZS_RUB,POLICY_C_MORE_FREQUENT,2026-05,2,0,1.0,0.0
UZS_RUB,POLICY_C_MORE_FREQUENT,2026-06,0,0,,
UZS_RUB,POLICY_C_MORE_FREQUENT,2026-07,0,0,,
UZS_RUB,POLICY_C_MORE_FREQUENT,2026-08,0,0,,
