corridor,signal_type,signals,golden_positives,TP,FP,FN,precision,recall,F0_5,F1,hit_rate,random_hit_rate,uplift
AMD_RUB,good_day,22,44,15,7,29,0.6818181818181818,0.3409090909090909,0.5681818181818181,0.45454545454545453,0.6818181818181818,0.26122727272727275,2.6100574212632672
AMD_RUB,window_closing,1,11,0,1,11,0.0,0.0,0.0,0.0,0.0,0.068,0.0
AMD_RUB,positive_market_fact,5,55,5,0,50,1.0,0.09090909090909091,0.3333333333333333,0.16666666666666669,1.0,0.31220000000000003,3.2030749519538753
KGS_RUB,good_day,23,46,15,8,31,0.6521739130434783,0.32608695652173914,0.5434782608695652,0.43478260869565216,0.6521739130434783,0.27447826086956517,2.3760494218279744
KGS_RUB,window_closing,0,8,0,0,8,0.0,0.0,0.0,0.0,0.0,,
KGS_RUB,positive_market_fact,5,63,5,0,58,1.0,0.07936507936507936,0.3012048192771084,0.14705882352941177,1.0,0.37100000000000005,2.695417789757412
KZT_RUB,good_day,21,24,11,10,13,0.5238095238095238,0.4583333333333333,0.5092592592592592,0.4888888888888889,0.5238095238095238,0.1459047619047619,3.5900783289817237
KZT_RUB,window_closing,1,13,0,1,13,0.0,0.0,0.0,0.0,0.0,0.082,0.0
KZT_RUB,positive_market_fact,2,49,2,0,47,1.0,0.04081632653061224,0.17543859649122806,0.07843137254901959,1.0,0.2905,3.442340791738382
TJS_RUB,good_day,25,51,16,9,35,0.64,0.3137254901960784,0.5298013245033112,0.42105263157894735,0.64,0.30724,2.0830621012888946
TJS_RUB,window_closing,0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,,
TJS_RUB,positive_market_fact,3,62,3,0,59,1.0,0.04838709677419355,0.20270270270270271,0.09230769230769231,1.0,0.37466666666666665,2.6690391459074734
UZS_RUB,good_day,23,38,12,11,26,0.5217391304347826,0.3157894736842105,0.46153846153846156,0.39344262295081966,0.5217391304347826,0.22195652173913044,2.3506366307541624
UZS_RUB,window_closing,0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,,
UZS_RUB,positive_market_fact,3,52,3,0,49,1.0,0.057692307692307696,0.234375,0.1090909090909091,1.0,0.30666666666666664,3.2608695652173916
