corridor,policy,n_signals,signal_frequency,mean_signals_per_month,median_signals_per_month,months_with_zero_signals,share_months_with_1plus,share_months_with_2plus,max_gap_quote_observations,mean_gap_quote_observations,hit_rate,random_hit_rate,uplift,mean_actual_regret_signal,median_actual_regret_signal,mean_favourability_at_signal,min_favourability_at_signal,max_predicted_regret_at_signal,worst_signal_favourability,worst_signal_rate_relative_to_20d_range,n_signals_with_F_below_0_70,n_signals_with_regret_above_1pct
AMD_RUB,POLICY_A_STRICT,16,0.05818181818181818,1.1428571428571428,0.0,8,0.42857142857142855,0.42857142857142855,45,10.2,0.25,0.0965,2.5906735751295336,0.016445842492706354,0.01990506855318125,0.896875,0.75,0.0022621823332399,0.75,0.6953268389100675,0,0
AMD_RUB,POLICY_B_BALANCED,16,0.05818181818181818,1.1428571428571428,0.0,8,0.42857142857142855,0.42857142857142855,45,10.2,0.25,0.0965,2.5906735751295336,0.016445842492706354,0.01990506855318125,0.896875,0.75,0.0022621823332399,0.75,0.6953268389100675,0,0
AMD_RUB,POLICY_C_MORE_FREQUENT,16,0.05818181818181818,1.1428571428571428,0.0,8,0.42857142857142855,0.42857142857142855,45,10.2,0.25,0.0965,2.5906735751295336,0.016445842492706354,0.01990506855318125,0.896875,0.75,0.0022621823332399,0.75,0.6953268389100675,0,0
KGS_RUB,POLICY_A_STRICT,19,0.06909090909090909,1.3571428571428572,0.5,7,0.5,0.42857142857142855,27,8.555555555555555,0.2631578947368421,0.09421052631578947,2.793296089385475,0.015463053346951118,0.0176778253305772,0.9184210526315789,0.75,0.0021843397060936,0.75,0.6543953884449101,0,0
KGS_RUB,POLICY_B_BALANCED,19,0.06909090909090909,1.3571428571428572,0.5,7,0.5,0.42857142857142855,26,8.555555555555555,0.2631578947368421,0.09421052631578947,2.793296089385475,0.015614860800753309,0.0189759373065332,0.9131578947368422,0.7,0.0021843397060936,0.7,0.7340495218131792,0,0
KGS_RUB,POLICY_C_MORE_FREQUENT,19,0.06909090909090909,1.3571428571428572,0.5,7,0.5,0.42857142857142855,26,8.555555555555555,0.2631578947368421,0.09421052631578947,2.793296089385475,0.015614860800753309,0.0189759373065332,0.9131578947368422,0.7,0.0021843397060936,0.7,0.7340495218131792,0,0
KZT_RUB,POLICY_A_STRICT,19,0.06909090909090909,1.3571428571428572,1.5,6,0.5714285714285714,0.5,48,11.833333333333334,0.42105263157894735,0.10336842105263157,4.0733197556008145,0.011797776088359595,0.0085303820927695,0.9078947368421053,0.75,0.0033965925827283,0.75,0.6223711578460813,0,0
KZT_RUB,POLICY_B_BALANCED,19,0.06909090909090909,1.3571428571428572,1.5,6,0.5714285714285714,0.5,47,11.833333333333334,0.3157894736842105,0.10336842105263157,3.054989816700611,0.01344996202185961,0.0100814993893777,0.8921052631578947,0.7,0.0033965925827283,0.7,0.6223711578460813,0,0
KZT_RUB,POLICY_C_MORE_FREQUENT,19,0.06909090909090909,1.3571428571428572,1.5,6,0.5714285714285714,0.5,47,11.833333333333334,0.3157894736842105,0.10336842105263157,3.054989816700611,0.01344996202185961,0.0100814993893777,0.8921052631578947,0.7,0.0033965925827283,0.7,0.6223711578460813,0,0
TJS_RUB,POLICY_A_STRICT,23,0.08363636363636363,1.6428571428571428,2.0,6,0.5714285714285714,0.5714285714285714,26,8.136363636363637,0.34782608695652173,0.11686956521739128,2.9761904761904767,0.011204821216741318,0.0053629609089935,0.9086956521739131,0.75,0.0018104048900875,0.75,0.6269787894464578,0,0
TJS_RUB,POLICY_B_BALANCED,24,0.08727272727272728,1.7142857142857142,2.0,6,0.5714285714285714,0.5714285714285714,26,7.782608695652174,0.3333333333333333,0.11200000000000002,2.9761904761904754,0.010737953666043763,0.0053302392795901,0.9,0.7,0.0018104048900875,0.7,0.6269787894464578,0,0
TJS_RUB,POLICY_C_MORE_FREQUENT,24,0.08727272727272728,1.7142857142857142,2.0,6,0.5714285714285714,0.5714285714285714,26,7.782608695652174,0.3333333333333333,0.11200000000000002,2.9761904761904754,0.010737953666043763,0.0053302392795901,0.9,0.7,0.0018104048900875,0.7,0.6269787894464578,0,0
UZS_RUB,POLICY_A_STRICT,17,0.06181818181818182,1.2142857142857142,1.0,7,0.5,0.5,55,13.0,0.23529411764705882,0.072,3.2679738562091507,0.014227129227259383,0.0103250986683624,0.9176470588235294,0.75,0.0022545165623629,0.75,0.40844566810884203,0,0
UZS_RUB,POLICY_B_BALANCED,17,0.06181818181818182,1.2142857142857142,1.0,7,0.5,0.5,55,13.0,0.11764705882352941,0.072,1.6339869281045754,0.016411399434670564,0.0137562100204565,0.9058823529411764,0.7,0.0022545165623629,0.7,0.40844566810884203,0,0
UZS_RUB,POLICY_C_MORE_FREQUENT,17,0.06181818181818182,1.2142857142857142,1.0,7,0.5,0.5,55,13.0,0.11764705882352941,0.072,1.6339869281045754,0.016411399434670564,0.0137562100204565,0.9058823529411764,0.7,0.0022545165623629,0.7,0.40844566810884203,0,0
