corridor,model,MAE_H1,RMSE_H1,DirectionalAccuracy_H1,MAE_H2,RMSE_H2,DirectionalAccuracy_H2,MAE_H3,RMSE_H3,DirectionalAccuracy_H3,MAE_H4,RMSE_H4,DirectionalAccuracy_H4,MAE_H5,RMSE_H5,DirectionalAccuracy_H5,Path_MAE_5,Future_Best_MAE_5,Regret_MAE_5,n_forecasts
AMD_RUB,NAIVE,0.0013345854545454546,0.0017649724746759189,0.0,0.002044258181818182,0.002687048773113526,0.0,0.002688574545454545,0.003413420388567881,0.0,0.003131967272727272,0.003948307943686993,0.0,0.0034910545454545448,0.0044128337471515955,0.0,0.002538087999999999,0.002492145454545454,0.010044572943237661,275
AMD_RUB,ARIMA_RATE,0.0013345854545454546,0.0017649724746759189,0.0,0.002044258181818182,0.002687048773113526,0.0,0.002688574545454545,0.003413420388567881,0.0,0.003131967272727272,0.003948307943686993,0.0,0.0034910545454545448,0.0044128337471515955,0.0,0.002538087999999999,0.002492145454545454,0.010044572943237661,275
KGS_RUB,NAIVE,0.005721629090909087,0.007619563976549266,0.0,0.008859861818181816,0.011634427667448488,0.0,0.011664123636363636,0.014826180507099287,0.0,0.013608767272727272,0.017201353886144067,0.0,0.015246312727272728,0.019269969243547656,0.0,0.011020138909090907,0.011122149090909085,0.010534081394107032,275
KGS_RUB,ARIMA_RATE,0.005721629090909087,0.007619563976549266,0.0,0.008859861818181816,0.011634427667448488,0.0,0.011664123636363636,0.014826180507099287,0.0,0.013608767272727272,0.017201353886144067,0.0,0.015246312727272728,0.019269969243547656,0.0,0.011020138909090907,0.011122149090909085,0.010534081394107032,275
KZT_RUB,NAIVE,0.0012417709090909081,0.0016530661747739613,0.0,0.0018817890909090908,0.0024281634616235438,0.0,0.0022883345454545456,0.002967807841120812,0.0,0.0026434945454545445,0.003457193690631962,0.0,0.0029013709090909092,0.0038782998088431383,0.0,0.0021913519999999997,0.0021244036363636367,0.011313013722333901,275
KZT_RUB,ARIMA_RATE,0.0012421955801494725,0.001659010590329737,0.5418181818181819,0.0019091217068533928,0.0024443951652074677,0.4618181818181818,0.002291013404136664,0.0029786485689931473,0.48727272727272725,0.002627579161658741,0.003468490234439213,0.5381818181818182,0.0028823826712289424,0.0038855572752630524,0.5236363636363637,0.0021904585048054424,0.002112769021071274,0.011016724753493015,275
TJS_RUB,NAIVE,0.05492236363636372,0.07408965809072145,0.0036363636363636364,0.08560359999999997,0.11181759901001109,0.0,0.11271549090909092,0.14146238002959075,0.0,0.13101316363636364,0.16385995095368927,0.0,0.14590414545454547,0.1822370224415545,0.0,0.10603175272727275,0.10559909090909095,0.010581579709710553,275
TJS_RUB,ARIMA_RATE,0.05492236363636372,0.07408965809072145,0.0036363636363636364,0.08560359999999997,0.11181759901001109,0.0,0.11271549090909092,0.14146238002959075,0.0,0.13101316363636364,0.16385995095368927,0.0,0.14590414545454547,0.1822370224415545,0.0,0.10603175272727275,0.10559909090909095,0.010581579709710553,275
UZS_RUB,NAIVE,4.765279999999998e-05,6.155299722707549e-05,0.007272727272727273,7.507298181818184e-05,9.559479194448355e-05,0.0,9.618916363636364e-05,0.0001200010546014265,0.0,0.00010699396363636361,0.00013570574551245392,0.0,0.00011918552727272726,0.00014912682010837744,0.0,8.901888727272726e-05,8.75729454545454e-05,0.011373335401871236,275
UZS_RUB,ARIMA_RATE,4.765279999999998e-05,6.155299722707549e-05,0.007272727272727273,7.507298181818184e-05,9.559479194448355e-05,0.0,9.618916363636364e-05,0.0001200010546014265,0.0,0.00010699396363636361,0.00013570574551245392,0.0,0.00011918552727272726,0.00014912682010837744,0.0,8.901888727272726e-05,8.75729454545454e-05,0.011373335401871236,275
