corridor,horizon,model,params,MAE,RMSE,DA,n_validation
TJS_RUB,2,DIRECT_RIDGE,"{""alpha"": 100.0}",0.10348999649142115,0.14631012128259235,0.551094890510949,274
TJS_RUB,3,DIRECT_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",0.13046621049544388,0.18324759415353478,0.5036496350364964,274
TJS_RUB,3,DIRECT_RIDGE,"{""alpha"": 100.0}",0.13058935648976247,0.18041243186190015,0.5328467153284672,274
TJS_RUB,4,DIRECT_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",0.14529473505008245,0.20800111222902376,0.5255474452554745,274
TJS_RUB,4,DIRECT_RIDGE,"{""alpha"": 100.0}",0.14891248237873395,0.20705531619346745,0.5474452554744526,274
TJS_RUB,5,DIRECT_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",0.15976153808196336,0.23233778865662394,0.551094890510949,274
TJS_RUB,5,DIRECT_RIDGE,"{""alpha"": 100.0}",0.16225250703434288,0.2297890938469113,0.5802919708029197,274
UZS_RUB,1,DIRECT_GRADIENT_BOOSTING,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",5.190023600565457e-05,7.559615477970102e-05,0.583941605839416,274
UZS_RUB,1,DIRECT_RIDGE,"{""alpha"": 100.0}",5.232510726939343e-05,7.485962841683014e-05,0.551094890510949,274
UZS_RUB,2,DIRECT_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200}",8.470942815605497e-05,0.00012014852539264156,0.5474452554744526,274
UZS_RUB,2,DIRECT_RIDGE,"{""alpha"": 100.0}",8.44810834725692e-05,0.00011862405131694608,0.5802919708029197,274
UZS_RUB,3,DIRECT_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 100}",0.00010750218862701246,0.00014926906919659477,0.48905109489051096,274
UZS_RUB,3,DIRECT_RIDGE,"{""alpha"": 100.0}",0.00010644444242574948,0.00014669574737580918,0.5437956204379562,274
UZS_RUB,4,DIRECT_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",0.00011953434284870622,0.00016743845867461986,0.4708029197080292,274
UZS_RUB,4,DIRECT_RIDGE,"{""alpha"": 100.0}",0.00012102671835410896,0.00016754344938993656,0.5583941605839416,274
UZS_RUB,5,DIRECT_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",0.00012971959271958824,0.00018536911874000446,0.49635036496350365,274
UZS_RUB,5,DIRECT_RIDGE,"{""alpha"": 100.0}",0.00012997904489533456,0.00018533562630890436,0.6058394160583942,274
