corridor,model,feature,importance,rank
KZT_RUB,DIRECT_GRADIENT_BOOSTING,vol_5,0.06703338591630544,5
KZT_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_3,0.04845378146825504,6
KZT_RUB,DIRECT_GRADIENT_BOOSTING,corridor_specific_return_1,0.038600822017372985,7
KZT_RUB,DIRECT_GRADIENT_BOOSTING,dist_min_20,0.03668276541517494,8
KZT_RUB,DIRECT_GRADIENT_BOOSTING,ret_3,0.03439397374633514,9
KZT_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_1,0.03178357933294489,10
KZT_RUB,DIRECT_GRADIENT_BOOSTING,ret_1,0.021746526489501136,11
KZT_RUB,DIRECT_GRADIENT_BOOSTING,ret_5,0.020942998811801915,12
KZT_RUB,DIRECT_GRADIENT_BOOSTING,favourability_percentile_90,0.014478565245835887,13
KZT_RUB,DIRECT_GRADIENT_BOOSTING,return_sign_reversal_up,0.003480842903313895,14
KZT_RUB,DIRECT_GRADIENT_BOOSTING,near_min_reversal_010,0.0,15
KZT_RUB,DIRECT_RIDGE,vol_20,0.007574467638507809,1
KZT_RUB,DIRECT_RIDGE,dist_sma_20,0.007059328314344656,2
KZT_RUB,DIRECT_RIDGE,broad_rub_return_5,0.005765789566752675,3
KZT_RUB,DIRECT_RIDGE,favourability_percentile_90,0.0032142455603965787,4
KZT_RUB,DIRECT_RIDGE,ret_5,0.002927967845088408,5
KZT_RUB,DIRECT_RIDGE,reversal_strength,0.002401748852024362,6
KZT_RUB,DIRECT_RIDGE,broad_rub_return_3,0.0021037371325180964,7
KZT_RUB,DIRECT_RIDGE,vol_5,0.0018832865813206035,8
KZT_RUB,DIRECT_RIDGE,dist_min_20,0.0016612666621965248,9
KZT_RUB,DIRECT_RIDGE,broad_rub_return_1,0.0008489062168007047,10
KZT_RUB,DIRECT_RIDGE,ret_1,0.0007067857665156776,11
KZT_RUB,DIRECT_RIDGE,ret_3,0.0006702697333347829,12
KZT_RUB,DIRECT_RIDGE,near_min_reversal_010,0.0003515153214025215,13
KZT_RUB,DIRECT_RIDGE,corridor_specific_return_1,0.00033730876097232853,14
KZT_RUB,DIRECT_RIDGE,return_sign_reversal_up,0.00019044306244523092,15
TJS_RUB,DIRECT_GRADIENT_BOOSTING,vol_20,0.3307098539785508,1
TJS_RUB,DIRECT_GRADIENT_BOOSTING,corridor_specific_return_1,0.15861630651465544,2
TJS_RUB,DIRECT_GRADIENT_BOOSTING,reversal_strength,0.13048918045592478,3
TJS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_1,0.06810468176718916,4
TJS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_5,0.0665013009441668,5
TJS_RUB,DIRECT_GRADIENT_BOOSTING,ret_1,0.04138005355708403,6
TJS_RUB,DIRECT_GRADIENT_BOOSTING,dist_min_20,0.040491126095157856,7
TJS_RUB,DIRECT_GRADIENT_BOOSTING,dist_sma_20,0.03723489762943515,8
