corridor,horizon,Path_MAE_H,Future_Best_MAE_H,Regret_MAE_H,n_paths
AMD_RUB,5,0.0025380879999999995,0.002492145454545454,0.010044572943237661,275
AMD_RUB,10,0.0034511032727272723,0.003455094545454544,0.01512399616444329,275
KGS_RUB,5,0.011020138909090907,0.011122149090909085,0.010534081394107032,275
KGS_RUB,10,0.015094249454545454,0.01575925454545454,0.0161330522871972,275
KZT_RUB,5,0.0021913519999999997,0.0021244036363636367,0.011313013722333901,275
KZT_RUB,10,0.002927569090909091,0.0028287309090909082,0.016238900283772652,275
TJS_RUB,5,0.10603175272727275,0.10559909090909095,0.010581579709710551,275
TJS_RUB,10,0.14412904727272727,0.14864392727272727,0.01616138107661548,275
UZS_RUB,5,8.901888727272726e-05,8.75729454545454e-05,0.011373335401871236,275
UZS_RUB,10,0.00011829214909090908,0.00011930363636363633,0.016753086335843437,275
