corridor,rule,F,A,R,n_signals,signal_frequency,mean_signals_per_month,median_signals_per_month,months_with_zero_signals,hit_rate
AMD_RUB,RULE_1_STRICT,0.9,0.002,0.002,23,0.08363636363636363,1.6428571428571428,0.0,9,0.30434782608695654
AMD_RUB,RULE_2,0.9,0.0,0.005,35,0.12727272727272726,2.5,0.5,7,0.34285714285714286
AMD_RUB,RULE_3_BALANCED,0.85,0.0,0.005,36,0.13090909090909092,2.5714285714285716,0.5,7,0.3333333333333333
AMD_RUB,RULE_4_SOFT,0.85,,0.005,63,0.2290909090909091,4.5,1.0,7,0.4126984126984127
AMD_RUB,RULE_5_BROAD,0.8,,0.01,66,0.24,4.714285714285714,1.0,7,0.3939393939393939
KGS_RUB,RULE_1_STRICT,0.9,0.002,0.002,21,0.07636363636363637,1.5,0.0,8,0.23809523809523808
KGS_RUB,RULE_2,0.9,0.0,0.005,40,0.14545454545454545,2.857142857142857,0.5,7,0.275
KGS_RUB,RULE_3_BALANCED,0.85,0.0,0.005,41,0.14909090909090908,2.9285714285714284,0.5,7,0.2682926829268293
KGS_RUB,RULE_4_SOFT,0.85,,0.005,71,0.2581818181818182,5.071428571428571,1.5,7,0.36619718309859156
KGS_RUB,RULE_5_BROAD,0.8,,0.01,77,0.28,5.5,2.5,6,0.33766233766233766
KZT_RUB,RULE_1_STRICT,0.9,0.002,0.002,19,0.06909090909090909,1.3571428571428572,0.5,7,0.3684210526315789
KZT_RUB,RULE_2,0.9,0.0,0.005,30,0.10909090909090909,2.142857142857143,1.0,7,0.4
KZT_RUB,RULE_3_BALANCED,0.85,0.0,0.005,32,0.11636363636363636,2.2857142857142856,1.0,7,0.375
KZT_RUB,RULE_4_SOFT,0.85,,0.005,63,0.2290909090909091,4.5,3.5,5,0.4603174603174603
KZT_RUB,RULE_5_BROAD,0.8,,0.01,74,0.2690909090909091,5.285714285714286,4.5,5,0.3918918918918919
TJS_RUB,RULE_1_STRICT,0.9,0.002,0.002,31,0.11272727272727273,2.2142857142857144,1.5,6,0.3548387096774194
TJS_RUB,RULE_2,0.9,0.0,0.005,40,0.14545454545454545,2.857142857142857,2.5,6,0.375
TJS_RUB,RULE_3_BALANCED,0.85,0.0,0.005,44,0.16,3.142857142857143,3.0,6,0.36363636363636365
TJS_RUB,RULE_4_SOFT,0.85,,0.005,69,0.2509090909090909,4.928571428571429,4.5,6,0.4492753623188406
TJS_RUB,RULE_5_BROAD,0.8,,0.01,78,0.28363636363636363,5.571428571428571,5.5,4,0.3974358974358974
UZS_RUB,RULE_1_STRICT,0.9,0.002,0.002,18,0.06545454545454546,1.2857142857142858,0.5,7,0.2222222222222222
UZS_RUB,RULE_2,0.9,0.0,0.005,38,0.13818181818181818,2.7142857142857144,1.0,7,0.2894736842105263
UZS_RUB,RULE_3_BALANCED,0.85,0.0,0.005,40,0.14545454545454545,2.857142857142857,1.0,7,0.275
UZS_RUB,RULE_4_SOFT,0.85,,0.005,67,0.24363636363636362,4.785714285714286,3.0,6,0.31343283582089554
UZS_RUB,RULE_5_BROAD,0.8,,0.01,75,0.2727272727272727,5.357142857142857,4.0,6,0.28
