corridor,date,rate_t,good_day_candidate,window_closing_candidate,positive_market_fact_candidate,suppressed_by_priority,suppressed_by_cooldown,deferred_1d,final_push,final_push_type,final_push_reason
AMD_RUB,2025-01-02,0.256456,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-03,0.256456,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-07,0.256456,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-08,0.256456,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-09,0.256456,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-10,0.257758,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-14,0.258567,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-16,0.258253,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-17,0.257162,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-20,0.256715,True,False,True,True,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-01-21,0.255764,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-22,0.250547,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-23,0.246477,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-24,0.24844,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-27,0.246293,True,False,True,True,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-01-28,0.24383,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-29,0.245923,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-01-30,0.246096,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-07,0.244211,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-11,0.244146,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-12,0.241596,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-13,0.237161,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-14,0.229633,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-17,0.227762,True,False,True,True,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-02-18,0.230669,False,True,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-19,0.230522,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-20,0.228512,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-21,0.223901,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-25,0.223931,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-26,0.220129,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-27,0.218363,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-02-28,0.222999,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-11,0.223918,True,False,True,True,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-03-12,0.219691,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-13,0.220173,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-14,0.22055,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-17,0.218434,True,False,True,True,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-03-18,0.21488,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-19,0.208146,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-20,0.211581,False,True,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-21,0.215152,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-25,0.214056,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-03-28,0.213968,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-04-07,0.215422,True,False,True,True,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-04-11,0.217387,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-04-15,0.211724,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-04-16,0.210659,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-04-17,0.21108,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-04-18,0.209802,False,False,True,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-04-22,0.206806,False,False,True,False,True,False,False,none,COOLDOWN
