corridor,date,rate_t,favourability_percentile_90,past_best_5,past_advantage_5,predicted_rate_h1,predicted_rate_h2,predicted_rate_h3,predicted_rate_h4,predicted_rate_h5,predicted_future_best_5,predicted_regret_5,actual_future_best_5,actual_regret_5
AMD_RUB,2025-07-12,0.202874,0.9888888888888889,0.20301,0.0006699177380424474,0.2028527350881482,0.2026864475750495,0.2028471232874214,0.2029938341222967,0.2030314502177598,0.2026864475750495,0.000924477384733869,0.202953,0.0
AMD_RUB,2025-07-15,0.20402,0.8777777777777778,0.202874,-0.005648826365133078,0.2041807342416632,0.2042045882531512,0.2042331093063607,0.20424417827821,0.2043068959237113,0.2041807342416632,0.0,0.202953,0.005229879423585984
AMD_RUB,2025-07-16,0.202953,0.9666666666666667,0.202874,-0.00038940426077267536,0.2027537947497572,0.2027574802900761,0.2030025441380143,0.2031101316523004,0.2031498235626609,0.2027537947497572,0.0009815339031342555,0.203038,0.0
AMD_RUB,2025-07-17,0.203038,0.9444444444444444,0.202874,-0.0008083835286926737,0.203038731235095,0.2030111169338869,0.2030445009514525,0.2032301210306902,0.2032291168403553,0.2030111169338869,0.00013240411210262387,0.203371,0.0
AMD_RUB,2025-07-18,0.203545,0.8777777777777778,0.202874,-0.003307471632639002,0.2036537970454105,0.2036850462745851,0.2037423624555345,0.2037977454078198,0.2038704824533213,0.2036537970454105,0.0,0.203371,0.0008548478223489031
AMD_RUB,2025-07-19,0.203818,0.8555555555555556,0.202874,-0.004653134457840829,0.2039052690214138,0.2039512088761459,0.2040704096638464,0.2041114165732918,0.2041464469954016,0.2039052690214138,0.0,0.203371,0.0021931330893248044
AMD_RUB,2025-07-22,0.204068,0.8222222222222222,0.202953,-0.005493882820160357,0.2041654242700468,0.2041731286156799,0.2042994855091238,0.204378996314375,0.2043968498633958,0.2041654242700468,0.0,0.203371,0.003415528157280922
AMD_RUB,2025-07-23,0.203371,0.9111111111111111,0.202953,-0.0020595901514143754,0.2033410394219947,0.2033236495320647,0.203453969660888,0.20355837319282,0.203591503209097,0.2033236495320647,0.00023282802334306847,0.204344,0.0
AMD_RUB,2025-07-24,0.204344,0.7666666666666666,0.203038,-0.006432293462307556,0.2045829238253245,0.2046350681719246,0.2046081864403714,0.2046926215747313,0.2047783909767262,0.2045829238253245,0.0,0.20551,0.0
AMD_RUB,2025-07-25,0.20551,0.6333333333333333,0.203371,-0.010517723765925338,0.2057625474772339,0.2058924496836915,0.2058931561873641,0.2059956419312525,0.2060148475891906,0.2057625474772339,0.0,0.207201,0.0
AMD_RUB,2025-07-26,0.207201,0.5111111111111111,0.203371,-0.01883257691607948,0.2074081499182485,0.2075299532180558,0.2076063225230552,0.2077847043247019,0.2076437794661421,0.2074081499182485,0.0,0.207359,0.0
AMD_RUB,2025-07-29,0.207359,0.5,0.203371,-0.019609482177891595,0.2074633820046831,0.2075803024037244,0.2077174121337905,0.207929042593205,0.207706609466581,0.2074633820046831,0.0,0.207721,0.0
AMD_RUB,2025-07-30,0.214203,0.16666666666666663,0.203371,-0.053262264531324564,0.2150351057764335,0.2149099199862583,0.2150358355347976,0.2150513012442114,0.2147035140841475,0.2147035140841475,0.0,0.207721,0.030261014084770128
