corridor,model,feature_set,order,MAE_H1,RMSE_H1,DirectionalAccuracy_H1,coverage_H1,mean_interval_width_H1,MAE_H2,RMSE_H2,DirectionalAccuracy_H2,coverage_H2,mean_interval_width_H2,MAE_H3,RMSE_H3,DirectionalAccuracy_H3,coverage_H3,mean_interval_width_H3,MAE_H4,RMSE_H4,DirectionalAccuracy_H4,coverage_H4,mean_interval_width_H4,MAE_H5,RMSE_H5,DirectionalAccuracy_H5,coverage_H5,mean_interval_width_H5,Path_MAE_5,Future_Best_MAE_5,Regret_MAE_5,n_forecasts,Path_MAE_5_ratio_vs_naive,MAE_H5_ratio_vs_naive,Future_Best_MAE_5_ratio_vs_naive,Regret_MAE_5_ratio_vs_naive,Path_MAE_5_ratio_vs_arima,MAE_H5_ratio_vs_arima,Future_Best_MAE_5_ratio_vs_arima,Regret_MAE_5_ratio_vs_arima
AMD_RUB,ARIMAX,SET_A,"(0, 1, 0)",0.0013345854545454546,0.0017649724746759189,0.0,0.7745454545454545,0.004038725336686089,0.0020442581818181814,0.0026870487731135255,0.0,0.7454545454545455,0.005711620145841312,0.0026885745454545444,0.0034134203885678805,0.0,0.6909090909090909,0.00699527748095602,0.003131967272727272,0.003948307943686992,0.0,0.6545454545454545,0.008077450673372177,0.0034910545454545443,0.004412833747151595,0.0,0.6545454545454545,0.009030864395280835,0.002538087999999999,0.0024921454545454537,0.010044572943237661,275,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0
KGS_RUB,ARIMAX,SET_A,"(0, 1, 0)",0.005721629090909087,0.007619563976549266,0.0,0.7890909090909091,0.01775293100380848,0.008859861818181816,0.011634427667448488,0.0,0.7381818181818182,0.025106435797459747,0.011664123636363636,0.014826180507099287,0.0,0.6909090909090909,0.03074897848186109,0.013608767272727272,0.017201353886144067,0.0,0.6654545454545454,0.03550586200761718,0.015246312727272728,0.019269969243547656,0.0,0.6618181818181819,0.03969676052437943,0.011020138909090907,0.011122149090909085,0.010534081394107032,275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KZT_RUB,ARIMAX,SET_A,"(0, 1, 0)",0.0012417709090909084,0.0016530661747739613,0.0,0.7272727272727273,0.0032850563877995786,0.001881789090909091,0.002428163461623544,0.0,0.6545454545454545,0.0046457712967865605,0.0022883345454545456,0.0029678078411208126,0.0,0.6763636363636364,0.0056898845693976186,0.002643494545454545,0.0034571936906319625,0.0,0.6872727272727273,0.006570112775599213,0.0029013709090909097,0.0038782998088431383,0.0,0.6945454545454546,0.007345609393039796,0.0021913519999999997,0.0021244036363636367,0.011313013722333898,275,1.0,1.0000000000000002,1.0,0.9999999999999997,1.0004079032734914,1.0065876880441664,1.005506808920581,1.0268944695878819
TJS_RUB,ARIMAX,SET_A,"(0, 1, 0)",0.05492236363636372,0.07408965809072145,0.0036363636363636364,0.7927272727272727,0.16339629729935015,0.08560359999999999,0.1118175990100111,0.0,0.7345454545454545,0.23107725968228723,0.11271549090909094,0.14146238002959077,0.0,0.6872727272727273,0.2830106886911035,0.13101316363636364,0.16385995095368927,0.0,0.6472727272727272,0.32679259459870064,0.14590414545454547,0.1822370224415545,0.0,0.64,0.36536522803311305,0.10603175272727275,0.10559909090909095,0.010581579709710551,275,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999
UZS_RUB,ARIMAX,SET_A,"(0, 1, 0)",4.7652799999999985e-05,6.15529972270755e-05,0.007272727272727273,0.8145454545454546,0.00015284558322583525,7.507298181818185e-05,9.559479194448355e-05,0.0,0.7527272727272727,0.0002161562967468011,9.618916363636364e-05,0.00012000105460142651,0.0,0.7418181818181818,0.0002647363158596438,0.00010699396363636361,0.00013570574551245392,0.0,0.6981818181818182,0.00030569116645167045,0.00011918552727272726,0.00014912682010837744,0.0,0.7127272727272728,0.0003417731141535686,8.901888727272726e-05,8.75729454545454e-05,0.011373335401871236,275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
