metric_family,scope,signal_type,rows,true_positive,false_positive,false_negative,true_negative,predicted_positive,actual_positive,precision,recall,f_beta,beta,prevalence,random_precision,classification_lift,average_precision,scenario,h_days,signal_count,safety_count,safety_hits,safety_hit_rate,closing_confirmation_count,closing_confirmation_hits,closing_confirmation_hit_rate,benefit_count,benefit_mean_bps,benefit_median_bps,benefit_positive_share,estimated_mean_value_rub,random_safety_hit_rate_mean,random_safety_hit_rate_p05,random_safety_hit_rate_p95,random_closing_confirmation_hit_rate_mean,random_benefit_mean_bps,random_benefit_mean_bps_p05,random_benefit_mean_bps_p95,random_benefit_positive_share,safety_lift,closing_confirmation_lift,incremental_benefit_bps,safety_randomization_p,closing_confirmation_randomization_p,benefit_randomization_p
outcome,TJS_RUB,,,,,,,,,,,,,,,,,window_closing,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,-41.026085748766285,-41.026085748766285,0.0,-90.25738864728582,0.927,0.5,1.0,0.1145,1.8997050917117995,-38.03725119609206,39.97287204926178,0.4655,1.0787486515641855,0.0,-42.925790840478086,0.8561438561438561,1.0,0.958041958041958
outcome,TJS_RUB,,,,,,,,,,,,,,,,,window_closing,3.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,-60.75261523677045,-60.75261523677045,0.0,-133.65575352089502,0.7685,0.4750000000000014,1.0,0.183,3.624085629212236,-61.48762011498552,68.92311572352405,0.499,0.0,0.0,-64.37670086598268,1.0,1.0,0.948051948051948
outcome,TJS_RUB,,,,,,,,,,,,,,,,,window_closing,5.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,-77.74808647356042,-77.74808647356042,0.0,-171.04579024183292,0.685,0.0,1.0,0.2265,4.174322232511561,-83.02559198218337,88.54458694618701,0.476,0.0,0.0,-81.92240870607198,1.0,1.0,0.9400599400599401
outcome,TJS_RUB,,,,,,,,,,,,,,,,,window_closing,10.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,-86.91813078730631,-86.91813078730631,0.0,-191.2198877320739,0.57,0.0,1.0,0.304,3.6008803152024447,-135.00572261902764,112.58757159011493,0.545,0.0,0.0,-90.51901110250876,1.0,1.0,0.8821178821178821
outcome,TJS_RUB,,,,,,,,,,,,,,,,,window_closing,20.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,-91.3498042584502,-91.3498042584502,0.0,-200.96956936859047,0.4795,0.0,1.0,0.372,9.978084962135721,-188.76988606831944,166.03126334476033,0.5485,0.0,0.0,-101.32788922058593,1.0,1.0,0.8481518481518482
outcome,TJS_RUB,,,,,,,,,,,,,,,,,portfolio,1.0,27.0,27.0,26.0,0.9629629629629629,,,,27.0,10.415497522005294,6.636958773807667,0.5555555555555556,22.914094548411647,0.9305555555555557,0.8518518518518519,1.0,,0.40139012904098637,-9.913089353752786,10.326629612414676,0.44111111111111106,1.034825870646766,,10.014107392964307,0.4015984015984016,,0.04795204795204795
outcome,TJS_RUB,,,,,,,,,,,,,,,,,portfolio,3.0,27.0,27.0,17.0,0.6296296296296297,,,,27.0,16.949506211919847,8.405422995146294,0.5555555555555556,37.288913666223664,0.7838148148148147,0.6666666666666666,0.8888888888888888,,1.2683683104542907,-15.549835439129572,17.684777241369968,0.48696296296296293,0.8032887586826065,,15.681137901465556,0.9920079920079921,,0.056943056943056944
outcome,TJS_RUB,,,,,,,,,,,,,,,,,portfolio,5.0,27.0,27.0,15.0,0.5555555555555556,,,,27.0,23.989921898643995,6.134768346431746,0.5555555555555556,52.77782817701679,0.6957037037037037,0.5925925925925926,0.8148148148148148,,2.0826492672592622,-17.428277023233367,21.20011569187538,0.4573333333333333,0.7985519591141397,,21.907272631384732,0.99000999000999,,0.03196803196803197
outcome,TJS_RUB,,,,,,,,,,,,,,,,,portfolio,10.0,27.0,27.0,13.0,0.48148148148148145,,,,27.0,43.39130872460674,33.43515488519046,0.6296296296296297,95.46087919413482,0.5831111111111111,0.48148148148148145,0.7037037037037037,,3.5280321096342666,-21.62389004573972,28.50472548506728,0.5379259259259259,0.8257113821138211,,39.86327661497247,0.9630369630369631,,0.004995004995004995
outcome,TJS_RUB,,,,,,,,,,,,,,,,,portfolio,20.0,27.0,26.0,12.0,0.46153846153846156,,,,26.0,56.89784477841987,81.7151302231,0.6153846153846154,125.17525851252373,0.49219766381766383,0.38461538461538464,0.6,,12.587344383847933,-18.64843085950636,44.14256583578946,0.5578638176638177,0.9377095737484847,,44.31050039457194,0.7422577422577422,,0.00999000999000999
outcome,UZS_RUB,,,,,,,,,,,,,,,,,positive_market_fact,1.0,12.0,12.0,12.0,1.0,,,,12.0,18.112910173957903,9.79931832280426,0.75,39.848402382707384,0.9025833333333333,0.75,1.0,,0.268423377855952,-15.373880119725229,14.99812177906564,0.5058333333333334,1.1079309389714709,,17.84448679610195,0.2837162837162837,,0.01998001998001998
outcome,UZS_RUB,,,,,,,,,,,,,,,,,positive_market_fact,3.0,12.0,12.0,10.0,0.8333333333333334,,,,12.0,39.196571231740315,30.686309585342066,0.6666666666666666,86.2324567098287,0.7678333333333333,0.5833333333333334,0.9166666666666666,,2.4169252976364395,-23.10535464961703,27.931078374331776,0.5148333333333334,1.085304970696766,,36.779645934103876,0.43356643356643354,,0.011988011988011988
outcome,UZS_RUB,,,,,,,,,,,,,,,,,positive_market_fact,5.0,12.0,12.0,8.0,0.6666666666666666,,,,12.0,55.476529481818766,38.74081315379497,0.6666666666666666,122.04836486000127,0.672,0.5,0.8333333333333334,,3.1272371054497916,-30.968155857993892,35.07906419129383,0.5096666666666666,0.992063492063492,,52.34929237636897,0.6603396603396603,,0.004995004995004995
outcome,UZS_RUB,,,,,,,,,,,,,,,,,positive_market_fact,10.0,12.0,12.0,7.0,0.5833333333333334,,,,12.0,92.57987609305134,97.79118157839233,0.9166666666666666,203.67572740471294,0.5584166666666667,0.3333333333333333,0.75,,3.4111491675218866,-43.81281855459272,47.60670216271996,0.5255,1.044620205939412,,89.16872692552946,0.5514485514485514,,0.001998001998001998
outcome,UZS_RUB,,,,,,,,,,,,,,,,,positive_market_fact,20.0,12.0,11.0,5.0,0.45454545454545453,,,,11.0,86.61171666814558,132.6241443654536,0.7272727272727273,190.54577666992026,0.4859833333333333,0.2727272727272727,0.6666666666666666,,13.793743133201962,-54.703715875771785,76.64402545856376,0.5734227272727273,0.9353107881864012,,72.81797353494362,0.6343656343656343,,0.027972027972027972
outcome,UZS_RUB,,,,,,,,,,,,,,,,,good_now,1.0,8.0,8.0,6.0,0.75,,,,8.0,-0.3236352041756758,-10.662650239497903,0.25,-0.7119974491864868,0.900125,0.75,1.0,,0.30747859221057366,-18.519175908339314,18.876525409790414,0.513,0.8332176086654631,,-0.6311137963862494,0.9660339660339661,,0.5504495504495505
outcome,UZS_RUB,,,,,,,,,,,,,,,,,good_now,3.0,8.0,8.0,5.0,0.625,,,,8.0,-7.868784571325644,-6.02382820156417,0.375,-17.311326056916418,0.76925,0.5,1.0,,2.3797651290907833,-30.504700921643465,35.35300114206412,0.5115,0.8124796880077998,,-10.248549700416428,0.9210789210789211,,0.6903096903096904
outcome,UZS_RUB,,,,,,,,,,,,,,,,,good_now,5.0,8.0,8.0,4.0,0.5,,,,8.0,-5.577753471026165,1.2617652479488821,0.625,-12.271057636257563,0.670125,0.375,0.875,,3.2576244889697983,-37.74837438160657,44.62247385214042,0.5085,0.7461294534601753,,-8.835377959995963,0.926073926073926,,0.6403596403596403
outcome,UZS_RUB,,,,,,,,,,,,,,,,,good_now,10.0,8.0,8.0,3.0,0.375,,,,8.0,2.8614452241336323,-0.4372794881446539,0.5,6.2951794930939915,0.557625,0.25,0.75,,3.578318237269308,-54.820426007460405,59.09859692942744,0.529125,0.6724949562878278,,-0.7168730131356758,0.9370629370629371,,0.5334665334665335
outcome,UZS_RUB,,,,,,,,,,,,,,,,,good_now,20.0,8.0,8.0,3.0,0.375,,,,8.0,33.48261415299528,12.30241839758333,0.5,73.66175113658961,0.4939940476190476,0.25,0.75,,13.293013378238117,-71.77890352742742,94.28472685484343,0.5700892857142857,0.7591184586280441,,20.189600774757167,0.8551448551448552,,0.3696303696303696
outcome,UZS_RUB,,,,,,,,,,,,,,,,,window_closing,1.0,3.0,3.0,2.0,0.6666666666666666,3.0,0.0,0.0,3.0,-30.97510615578736,-37.26056543266343,0.0,-68.14523354273219,0.9063333333333332,0.6666666666666666,1.0,0.10966666666666666,-0.5937478231074885,-32.25584780214445,31.337231015050037,0.49266666666666664,0.7355645457888931,0.0,-30.38135833267987,0.98001998001998,1.0,0.9440559440559441
outcome,UZS_RUB,,,,,,,,,,,,,,,,,window_closing,3.0,3.0,3.0,2.0,0.6666666666666666,3.0,0.0,0.0,3.0,-28.39113800407509,-36.92793774121066,0.3333333333333333,-62.4605036089652,0.7686666666666665,0.3333333333333333,1.0,0.20966666666666667,1.7975604775562692,-52.35977022276047,57.65679148472637,0.5083333333333334,0.8673026886383349,0.0,-30.18869848163136,0.8821178821178821,1.0,0.8341658341658341
outcome,UZS_RUB,,,,,,,,,,,,,,,,,window_closing,5.0,3.0,3.0,2.0,0.6666666666666666,3.0,0.0,0.0,3.0,-25.539804301916575,-34.033616790013845,0.3333333333333333,-56.187569464216466,0.6716666666666667,0.3333333333333333,1.0,0.26,2.21828072837104,-69.06874880128288,73.739349848075,0.5056666666666666,0.9925558312655085,0.0,-27.758085030287617,0.7552447552447552,1.0,0.7382617382617382
outcome,UZS_RUB,,,,,,,,,,,,,,,,,window_closing,10.0,3.0,3.0,2.0,0.6666666666666666,3.0,1.0,0.3333333333333333,3.0,-18.277423273559506,-46.074470589898525,0.3333333333333333,-40.21033120183091,0.5546666666666666,0.0,1.0,0.325,1.7974306781464124,-108.61105863722315,99.53062248137303,0.5243333333333332,1.2019230769230769,1.0256410256410255,-20.07485395170592,0.5904095904095904,0.6963036963036963,0.6483516483516484
outcome,UZS_RUB,,,,,,,,,,,,,,,,,window_closing,20.0,3.0,3.0,2.0,0.6666666666666666,3.0,1.0,0.3333333333333333,3.0,21.103821686098986,-18.825528199424067,0.3333333333333333,46.42840770941777,0.4881666666666667,0.0,1.0,0.379,10.060909061185535,-152.71368923034015,154.26833535670968,0.5671666666666666,1.3656538067599862,0.8795074758135444,11.04291262491345,0.4645354645354645,0.7572427572427572,0.4775224775224775
outcome,UZS_RUB,,,,,,,,,,,,,,,,,portfolio,1.0,23.0,23.0,20.0,0.8695652173913043,,,,23.0,5.297413999422928,0.0,0.4782608695652174,11.654310798730442,0.9062173913043479,0.8260869565217391,1.0,,0.6380229234237919,-10.85723704539708,11.73159059419254,0.5127391304347826,0.959554766588303,,4.659391075999136,0.8541458541458542,,0.26073926073926074
outcome,UZS_RUB,,,,,,,,,,,,,,,,,portfolio,3.0,23.0,23.0,17.0,0.7391304347826086,,,,23.0,14.010224530350145,7.3436915804000025,0.5217391304347826,30.822493966770317,0.7757826086956521,0.6521739130434783,0.9130434782608695,,2.8389452352700317,-16.868686716621678,21.669521791423104,0.518,0.9527545816286499,,11.171279295080113,0.7882117882117882,,0.17382617382617382
outcome,UZS_RUB,,,,,,,,,,,,,,,,,portfolio,5.0,23.0,23.0,14.0,0.6086956521739131,,,,23.0,23.672909265559394,19.35234070171317,0.6086956521739131,52.080400384230664,0.6799565217391303,0.5652173913043478,0.8260869565217391,,3.4972294078059547,-20.28292920315428,26.391561004710272,0.5097826086956522,0.8951979026791996,,20.17567985775344,0.8851148851148851,,0.07892107892107893
outcome,UZS_RUB,,,,,,,,,,,,,,,,,portfolio,10.0,23.0,23.0,12.0,0.5217391304347826,,,,23.0,46.91381761256551,48.57796864253968,0.6956521739130435,103.21039874764412,0.563913043478261,0.43478260869565216,0.6956521739130435,,3.6663205087409754,-26.08774895753508,32.649609274117864,0.5294347826086957,0.9252120277563606,,43.247497103824536,0.7942057942057942,,0.004995004995004995
outcome,UZS_RUB,,,,,,,,,,,,,,,,,portfolio,20.0,23.0,22.0,10.0,0.45454545454545453,,,,22.0,58.35914825599365,96.21996901029655,0.5909090909090909,128.39012616318604,0.4881178242047807,0.36363636363636365,0.6086956521739131,,13.020765091579065,-27.465580045767037,51.24236196263814,0.5689603801995106,0.9312207668014977,,45.33838316441459,0.7162837162837162,,0.024975024975024976
