aggregation,signal_type,signals,golden_positives,TP,FP,FN,precision,recall,F0_5,F1,hit_rate,random_hit_rate,uplift
MICRO,good_day,114.0,203.0,69.0,45.0,134.0,0.6052631578947368,0.3399014778325123,0.5235204855842184,0.43533123028391163,0.6052631578947368,0.24482456140350878,2.4722321748477247
MACRO,good_day,22.8,40.6,13.8,9.0,26.8,0.6039081498211933,0.35096886892889045,0.522451824870483,0.43854244133195247,0.6039081498211933,0.24216136344814604,2.601976780823205
MICRO,window_closing,2.0,52.0,0.0,2.0,52.0,0.0,0.0,0.0,0.0,0.0,0.07500000000000001,0.0
MACRO,window_closing,0.4,10.4,0.0,0.4,10.4,0.0,0.0,0.0,0.0,0.0,0.07500000000000001,0.0
MICRO,positive_market_fact,18.0,281.0,18.0,0.0,263.0,1.0,0.06405693950177936,0.254957507082153,0.12040133779264214,1.0,0.33561111111111114,2.9796391325939413
MACRO,positive_market_fact,3.6,56.2,3.6,0.0,52.6,1.0,0.06343398025425676,0.2494108903608745,0.11871109282873989,1.0,0.33100666666666667,3.054148448914906
