corridor,date,rate_t,golden_good_day,golden_window_closing,golden_positive_market_fact,good_day_candidate,window_closing_candidate,positive_market_fact_candidate,past_rebound_bps,mean_change_h5_bps,n_worse_days_h5,methodology_historical_eligible
AMD_RUB,2025-01-01,0.256456,False,0,0,True,False,False,0.0,-10.753003895780155,0,False
AMD_RUB,2025-01-02,0.256456,False,0,0,True,False,False,0.0,2.3497172488118334,3,False
AMD_RUB,2025-01-03,0.256456,False,0,0,True,False,False,0.0,-4.2327871547840346,1,False
AMD_RUB,2025-01-06,0.256456,False,0,0,True,False,False,0.0,-6.347313850071146,0,False
AMD_RUB,2025-01-07,0.256456,False,0,0,True,False,False,0.0,-9.919790200176191,0,False
AMD_RUB,2025-01-08,0.256456,True,0,0,True,False,False,0.0,-4.854734114180692,0,False
AMD_RUB,2025-01-09,0.256456,True,0,0,True,False,False,0.0,-10.735805063569526,0,False
AMD_RUB,2025-01-10,0.257758,True,0,0,True,False,False,50.7689428206004,0.12199962994507985,3,False
AMD_RUB,2025-01-13,0.256815,False,0,0,True,False,False,13.998502667125212,-11.936077676945711,0,False
AMD_RUB,2025-01-14,0.258567,False,0,0,True,False,False,82.3143151261796,2.931490181874219,4,False
AMD_RUB,2025-01-15,0.260038,False,0,0,False,False,False,139.67308232211371,-2.742545791139417,2,True
AMD_RUB,2025-01-16,0.258253,False,0,0,True,False,False,70.07049942290288,-37.546136307943904,0,False
AMD_RUB,2025-01-17,0.257162,False,0,0,True,False,False,27.529088810556157,-31.984566431400687,0,False
AMD_RUB,2025-01-20,0.256715,False,0,1,True,False,True,0.0,-24.953094387915485,0,False
AMD_RUB,2025-01-21,0.255764,False,0,1,True,False,True,0.0,-50.87213463585694,0,False
AMD_RUB,2025-01-22,0.250547,False,0,1,True,False,True,0.0,-36.270145278515464,0,False
AMD_RUB,2025-01-23,0.246477,False,0,1,True,False,True,0.0,-39.26926485800375,0,False
AMD_RUB,2025-01-24,0.24844,False,0,1,True,False,True,79.64231956734346,42.685569724183026,5,False
AMD_RUB,2025-01-27,0.246293,False,0,1,True,False,True,0.0,-29.66742834955238,0,False
AMD_RUB,2025-01-28,0.24383,True,0,1,True,False,True,0.0,-39.3226806424094,0,False
AMD_RUB,2025-01-29,0.245923,True,0,1,True,False,True,85.83849403272836,-0.6358374143486941,3,False
AMD_RUB,2025-01-30,0.246096,True,0,1,True,False,True,92.93360127958117,-25.18318702492417,0,False
AMD_RUB,2025-01-31,0.246296,False,0,0,False,False,False,101.13603740310894,-38.85023161083034,0,True
AMD_RUB,2025-02-03,0.246158,False,0,0,True,False,False,95.47635647787489,-24.977653615987137,0,False
AMD_RUB,2025-02-04,0.251753,False,0,0,False,False,False,324.9395070335903,-32.524356888331994,1,False
AMD_RUB,2025-02-05,0.248377,False,0,0,False,False,False,186.482385268425,-61.84129404685757,0,True
AMD_RUB,2025-02-06,0.247253,False,0,0,False,False,False,140.3846942541942,-29.74684710260656,0,True
AMD_RUB,2025-02-07,0.244211,False,0,1,True,False,True,15.62564081532214,-29.742638849646234,0,False
AMD_RUB,2025-02-10,0.245176,False,0,0,True,False,False,39.51500956140386,-26.327094685706157,0,False
AMD_RUB,2025-02-11,0.244146,False,0,1,True,False,True,0.0,-26.527437300065458,0,False
AMD_RUB,2025-02-12,0.241596,False,0,1,True,False,True,0.0,-24.08397306474064,0,False
AMD_RUB,2025-02-13,0.237161,False,0,1,False,False,True,0.0,-20.924931528834456,0,False
AMD_RUB,2025-02-14,0.229633,False,0,1,False,False,True,0.0,26.494839336242524,4,False
AMD_RUB,2025-02-17,0.227762,False,0,1,True,False,True,0.0,30.980821188889344,5,False
AMD_RUB,2025-02-18,0.230669,False,0,1,False,True,True,127.63323117991776,51.51523717774164,5,True
AMD_RUB,2025-02-19,0.230522,False,0,1,False,False,True,121.17912557845445,-2.28385980894541,1,True
AMD_RUB,2025-02-20,0.228512,False,0,1,True,False,True,32.929110211536994,-14.714225260687774,0,False
