feature,role,dtype,missing_share,n_unique,mean,std,min,median,max,dominant_value_share,is_constant,is_near_constant,is_critical_missingness,exact_duplicate_of,max_abs_pearson_ge_090,high_corr_pair_occurrences_090,high_corr_pair_occurrences_098,max_vif_representative_subset,vif_status,in_structural_reduced_set,in_candidate_reduced_set,recommended_action
broad_rub_freshness_days,CAUSAL FEATURE,Int64,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,True,False,False,,,0,0,,not_in_vif_subset,False,False,exclude from future feature models: constant on snapshot
broad_rub_return_1,CAUSAL FEATURE,float64,0.0005293806246691371,1888,0.00021526781375283763,0.011762288611565202,-0.07808684443590326,3.608353862170436e-05,0.12138234955585851,0.0005296610169491525,False,False,False,,0.9502903386172817,2,0,32.05663988938315,severe,True,False,retain for future temporal screening
broad_rub_return_10,CAUSAL FEATURE,float64,0.005293806246691371,1879,0.0024993067979512534,0.04888613223850939,-0.222089166898207,0.00021662425253354822,0.4918684801215769,0.0005321979776476849,False,False,False,,0.9746393055054616,9,0,,not_in_vif_subset,True,False,retain for future temporal screening
broad_rub_return_20,CAUSAL FEATURE,float64,0.010587612493382742,1869,0.005006365053252815,0.0690577366530711,-0.37020132064131944,0.0007792818564629952,0.5856338147870138,0.0005350454788657035,False,False,False,,0.9745962672471897,6,0,51.33535749172213,severe,True,False,retain for future temporal screening
broad_rub_return_3,CAUSAL FEATURE,float64,0.0015881418740074113,1886,0.0006888150478065408,0.022858900919661355,-0.11672142169234075,0.0003216323194389914,0.23200518672208323,0.0005302226935312832,False,False,False,,0.9612871169291917,8,0,,not_in_vif_subset,True,False,retain for future temporal screening
broad_rub_return_5,CAUSAL FEATURE,float64,0.0026469031233456856,1884,0.0011809341321143655,0.031240462922846903,-0.1799682966809648,0.00010389600813293098,0.280177246112225,0.0005307855626326964,False,False,False,,0.9683308718739605,8,0,61.12533639370266,severe,True,False,retain for future temporal screening
broad_rub_z_1,CAUSAL FEATURE,float64,0.03229221810481736,1828,0.02719288219287232,1.095526679199918,-8.874619890902855,0.004900027242418017,9.743624147675527,0.0005470459518599562,False,False,False,,,0,0,5.834108801460342,moderate,True,True,retain for future temporal screening
broad_rub_z_3,CAUSAL FEATURE,float64,0.03335097935415564,1826,0.04464138721340189,1.127139716012137,-8.767103108838446,0.0045957561242896145,9.001461623521253,0.000547645125958379,False,False,False,,,0,0,9.25966794467391,moderate,True,True,retain for future temporal screening
broad_rub_z_5,CAUSAL FEATURE,float64,0.03440974060349391,1824,0.06219197890403781,1.1435301852363942,-7.450799460677859,-0.015421000353332454,8.29658820122114,0.0005482456140350877,False,False,False,,,0,0,8.679572355448558,moderate,True,True,retain for future temporal screening
cny_rub_freshness_days,CAUSAL FEATURE,Int64,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,True,False,False,,,0,0,,not_in_vif_subset,False,False,exclude from future feature models: constant on snapshot
corridor_specific_return_1,CAUSAL FEATURE,float64,0.0005293806246691371,9439,-4.5887206957447e-05,0.006270722935755114,-0.1423737852362032,3.982811074787474e-05,0.15345293910740945,0.000211864406779661,False,False,False,,0.9494612474824013,3,0,,not_in_vif_subset,True,False,retain for future temporal screening
corridor_specific_return_10,CAUSAL FEATURE,float64,0.005293806246691371,9395,-0.0006941087770140116,0.018426119719499756,-0.25175887112602613,-0.0001125111610552898,0.17762335079145528,0.00010643959552953698,False,False,False,,0.9454134684859734,2,0,,not_in_vif_subset,True,False,retain for future temporal screening
corridor_specific_return_3,CAUSAL FEATURE,float64,0.0015881418740074113,9430,-0.00015464268469296053,0.009940457471393905,-0.1402064845632356,6.363093150193056e-05,0.11908921108564481,0.00010604453870625662,False,False,False,,0.9392814854262594,3,0,,not_in_vif_subset,True,False,retain for future temporal screening
corridor_specific_return_5,CAUSAL FEATURE,float64,0.0026469031233456856,9420,-0.00028741675486010723,0.012716673150049132,-0.16374616175398993,-2.088538894908388e-05,0.1496438892429613,0.00010615711252653928,False,False,False,,0.9400620345472499,2,0,,not_in_vif_subset,True,False,retain for future temporal screening
days_since_min_20,CAUSAL FEATURE,float64,0.010058231868713605,20,10.192299465240641,6.936197824231378,0.0,11.0,19.0,0.16267379679144384,False,False,False,,,0,0,3.079370780734177,acceptable,True,True,retain for future temporal screening
days_since_min_60,CAUSAL FEATURE,float64,0.03123345685547909,60,31.056174863387977,21.149125501252417,0.0,32.0,59.0,0.09169398907103825,False,False,False,,,0,0,3.6143948057732445,acceptable,True,True,retain for future temporal screening
dist_max_10,CAUSAL FEATURE,float64,0.004764425622022234,7534,-0.019151253460836973,0.026635050382032985,-0.2820696163559616,-0.011291420860061241,0.0,0.19808510638297872,False,False,False,,,0,0,,not_in_vif_subset,True,False,retain for future temporal screening
dist_max_180,CAUSAL FEATURE,float64,0.09475913181577554,8104,-0.12896512765369897,0.121160611598907,-0.5716924829775114,-0.0948680236721251,0.0,0.0495906432748538,False,False,False,,,0,0,4.139615257953384,acceptable,True,True,retain for future temporal screening
dist_max_20,CAUSAL FEATURE,float64,0.010058231868713605,8136,-0.031103658398175627,0.040423100025463204,-0.4108815945765856,-0.020516622615028568,0.0,0.12887700534759358,False,False,False,,,0,0,1304.8476730870582,severe,True,False,retain for future temporal screening
dist_max_365,CAUSAL FEATURE,float64,0.1926945473795659,7491,-0.1968925161616988,0.12156251347015994,-0.5716924829775114,-0.1750373936102152,0.0,0.013114754098360656,False,False,False,,,0,0,,not_in_vif_subset,True,False,retain for future temporal screening
dist_max_60,CAUSAL FEATURE,float64,0.03123345685547909,8371,-0.06292929210258766,0.07764799479837824,-0.5567968215594225,-0.0396879971793489,0.0,0.08382513661202186,False,False,False,,0.9346393745481365,4,0,429.1940332252733,severe,True,False,retain for future temporal screening
dist_max_90,CAUSAL FEATURE,float64,0.047114875595553204,8324,-0.08218281204081004,0.0945252000060452,-0.5716924829775114,-0.051999384209922506,0.0,0.07344444444444445,False,False,False,,0.9346393745481365,4,0,,not_in_vif_subset,True,False,retain for future temporal screening
dist_min_10,CAUSAL FEATURE,float64,0.004764425622022234,7650,0.020298358640816156,0.03304181119347585,0.0,0.011037926221614813,0.4752789120307954,0.1854255319148936,False,False,False,,,0,0,,not_in_vif_subset,True,False,retain for future temporal screening
dist_min_180,CAUSAL FEATURE,float64,0.09475913181577554,8202,0.12976315139406233,0.1402337038428094,0.0,0.08110474055207562,0.7461074430465566,0.03824561403508772,False,False,False,,,0,0,4.498181394011036,acceptable,True,True,retain for future temporal screening
dist_min_20,CAUSAL FEATURE,float64,0.010058231868713605,8236,0.03299528224898332,0.04497647329862646,0.0,0.020683531345033646,0.6131221582664217,0.11796791443850267,False,False,False,,,0,0,765.6633740757411,severe,True,False,retain for future temporal screening
dist_min_365,CAUSAL FEATURE,float64,0.1926945473795659,7410,0.22154023061873587,0.23341217669012282,0.0,0.12960675852358428,1.0922401991786286,0.025573770491803278,False,False,False,,,0,0,,not_in_vif_subset,True,False,retain for future temporal screening
dist_min_60,CAUSAL FEATURE,float64,0.03123345685547909,8521,0.06488673694670882,0.06884650238705434,0.0,0.042011115172944646,0.6462376207077409,0.06699453551912568,False,False,False,,0.9446206093813461,5,0,169.72144970024792,severe,True,False,retain for future temporal screening
dist_min_90,CAUSAL FEATURE,float64,0.047114875595553204,8477,0.08332823595119437,0.08586041729500193,0.0,0.052740540157801385,0.7269256971605464,0.05577777777777778,False,False,False,,0.9446206093813461,5,0,,not_in_vif_subset,True,False,retain for future temporal screening
dist_sma_10,CAUSAL FEATURE,float64,0.004764425622022234,9400,0.0005074535845655306,0.02367890051461112,-0.19484197851345642,-3.3044338259624606e-05,0.27111102668205067,0.00010638297872340425,False,False,False,,0.9444218939556093,12,0,,not_in_vif_subset,True,False,retain for future temporal screening
dist_sma_20,CAUSAL FEATURE,float64,0.010058231868713605,9350,0.0010978885899809961,0.03511145338732552,-0.26853759116671105,-0.0002970689303530283,0.3672540319855564,0.000106951871657754,False,False,False,,0.944543042850287,17,0,3735.2132431392533,severe,True,False,retain for future temporal screening
dist_sma_5,CAUSAL FEATURE,float64,0.0021175224986765486,9425,0.0002115475073134027,0.014834700200486843,-0.1229779284011886,4.6056337529076785e-05,0.15552882203174256,0.00010610079575596818,False,False,False,,0.9614130369644797,17,0,582.452457401891,severe,True,False,retain for future temporal screening
dist_sma_60,CAUSAL FEATURE,float64,0.03123345685547909,9150,0.0029635239456226414,0.06174869017985551,-0.33155405628693924,0.0010436362915241526,0.5142020199765303,0.0001092896174863388,False,False,False,,,0,0,1551.8974736741754,severe,True,False,retain for future temporal screening
down_streak,CAUSAL FEATURE,int64,0.0,18,1.083324510322922,1.5901347579134366,0.0,0.0,17.0,0.5072525145579672,False,False,False,,,0,0,2.0775245093731747,acceptable,True,True,retain for future temporal screening
eur_rub_freshness_days,CAUSAL FEATURE,Int64,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,True,False,False,,,0,0,,not_in_vif_subset,False,False,exclude from future feature models: constant on snapshot
favourability_percentile_180,CAUSAL FEATURE,float64,0.09528851244044469,181,0.49344515961250895,0.354437387545425,0.0,0.49444444444444446,1.0,0.04950263311878291,False,False,False,,1.0,11,5,,not_in_vif_subset,True,False,retain for future temporal screening
favourability_percentile_20,CAUSAL FEATURE,float64,0.010587612493382742,21,0.4967469234884966,0.35836850666059383,0.0,0.5,1.0,0.12659176029962546,False,False,False,,1.0,5,5,,not_in_vif_subset,True,False,retain for future temporal screening
favourability_percentile_365,CAUSAL FEATURE,float64,0.19322392800423505,366,0.5064850968971345,0.3434918036099819,0.0,0.49589041095890407,1.0,0.025590551181102362,False,False,False,,1.0,9,5,,not_in_vif_subset,True,False,retain for future temporal screening
favourability_percentile_60,CAUSAL FEATURE,float64,0.03176283748014823,61,0.4849079642792054,0.3657708961850732,0.0,0.4666666666666667,1.0,0.08310552214324768,False,False,False,,1.0,15,5,,not_in_vif_subset,True,False,retain for future temporal screening
