corridor,rate_adf_p,rate_kpss_p,diff_rate_adf_p,diff_rate_kpss_p,log_return_adf_p,log_return_kpss_p,recommended_rate_d,recommended_logret_d
AMD_RUB,0.8677591280829855,0.01,3.290572387815801e-13,0.1,1.3070953145033053e-14,0.1,1,0
KGS_RUB,0.49492314536653215,0.013306822110262725,3.831011736645701e-15,0.1,6.648013823894573e-23,0.1,1,0
KZT_RUB,0.5650351529364899,0.010125532129350504,5.47733824679348e-12,0.1,2.4848716201349357e-11,0.1,1,0
TJS_RUB,0.3201569418711858,0.01,7.89698501117733e-15,0.1,5.1808611613743974e-17,0.1,1,0
UZS_RUB,0.06760846230016998,0.022952851781850307,1.6594313367073732e-16,0.1,1.5133424148725623e-15,0.1,1,0
