corridor,forecast_step,mean_interval_width
AMD_RUB,1,0.008980962219871859
AMD_RUB,2,0.012700998574503162
AMD_RUB,3,0.015555482865674632
AMD_RUB,4,0.01796192443974372
AMD_RUB,5,0.020082042026990893
AMD_RUB,6,0.021998774837899367
AMD_RUB,7,0.023761392567847532
AMD_RUB,8,0.025401997149006327
AMD_RUB,9,0.02694288665961558
AMD_RUB,10,0.028400296194717
KGS_RUB,1,0.04903231771715498
KGS_RUB,2,0.06934216871018718
KGS_RUB,3,0.08492646549897206
KGS_RUB,4,0.09806463543430999
KGS_RUB,5,0.10963959550992586
KGS_RUB,6,0.12010415931305703
KGS_RUB,7,0.12972731888469838
KGS_RUB,8,0.13868433742037437
KGS_RUB,9,0.14709695315146495
KGS_RUB,10,0.15505380294323745
KZT_RUB,1,0.008226989779334504
KZT_RUB,2,0.012596829880324428
KZT_RUB,3,0.015001848910361295
KZT_RUB,4,0.01707133972492202
KZT_RUB,5,0.018915753493521915
KZT_RUB,6,0.020595649505031708
KZT_RUB,7,0.022148494349446362
KZT_RUB,8,0.023599381546394804
KZT_RUB,9,0.02496609312485013
KZT_RUB,10,0.02626177440175432
TJS_RUB,1,0.43737639574719317
TJS_RUB,2,0.6185436307275426
TJS_RUB,3,0.7575581394654908
TJS_RUB,4,0.8747527914943863
TJS_RUB,5,0.9780033526445738
TJS_RUB,6,1.0713489951182256
TJS_RUB,7,1.1571891724768415
TJS_RUB,8,1.2370872614550852
TJS_RUB,9,1.3121291872415795
TJS_RUB,10,1.3831056053563129
UZS_RUB,1,0.00036363583359604545
UZS_RUB,2,0.0005142587276363734
UZS_RUB,3,0.0006298357392410123
UZS_RUB,4,0.000727271667192091
UZS_RUB,5,0.0008131144429755595
UZS_RUB,6,0.0008907222445019241
UZS_RUB,7,0.0009620899834868026
UZS_RUB,8,0.0010285174552727469
UZS_RUB,9,0.0010909075007881363
UZS_RUB,10,0.0011499174730174807
