corridor,month,n_signals,n_hits,hit_rate,policy
KGS_RUB,2026-03,7,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
KGS_RUB,2026-04,8,1,0.125,POLICY_SIMPLE_NO_COOLDOWN
KGS_RUB,2026-05,4,2,0.5,POLICY_SIMPLE_NO_COOLDOWN
KGS_RUB,2026-06,3,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
KGS_RUB,2026-07,8,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
KGS_RUB,2026-08,2,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
KZT_RUB,2025-07,2,1,0.5,POLICY_FULL
KZT_RUB,2025-08,3,0,0.0,POLICY_FULL
KZT_RUB,2025-09,3,0,0.0,POLICY_FULL
KZT_RUB,2025-10,1,0,0.0,POLICY_FULL
KZT_RUB,2025-11,4,0,0.0,POLICY_FULL
KZT_RUB,2025-12,3,2,0.6666666666666666,POLICY_FULL
KZT_RUB,2026-01,2,1,0.5,POLICY_FULL
KZT_RUB,2026-02,2,0,0.0,POLICY_FULL
KZT_RUB,2026-03,3,0,0.0,POLICY_FULL
KZT_RUB,2026-04,2,0,0.0,POLICY_FULL
KZT_RUB,2026-05,3,0,0.0,POLICY_FULL
KZT_RUB,2026-06,1,1,1.0,POLICY_FULL
KZT_RUB,2026-07,5,0,0.0,POLICY_FULL
KZT_RUB,2026-08,1,0,0.0,POLICY_FULL
KZT_RUB,2025-07,2,1,0.5,POLICY_SIMPLE
KZT_RUB,2025-08,4,0,0.0,POLICY_SIMPLE
KZT_RUB,2025-09,3,0,0.0,POLICY_SIMPLE
KZT_RUB,2025-10,2,1,0.5,POLICY_SIMPLE
KZT_RUB,2025-11,4,1,0.25,POLICY_SIMPLE
KZT_RUB,2025-12,2,1,0.5,POLICY_SIMPLE
KZT_RUB,2026-01,3,1,0.3333333333333333,POLICY_SIMPLE
KZT_RUB,2026-02,2,0,0.0,POLICY_SIMPLE
KZT_RUB,2026-03,2,0,0.0,POLICY_SIMPLE
KZT_RUB,2026-04,3,0,0.0,POLICY_SIMPLE
KZT_RUB,2026-05,4,0,0.0,POLICY_SIMPLE
KZT_RUB,2026-06,1,1,1.0,POLICY_SIMPLE
KZT_RUB,2026-07,6,0,0.0,POLICY_SIMPLE
KZT_RUB,2026-08,1,0,0.0,POLICY_SIMPLE
KZT_RUB,2025-07,2,1,0.5,POLICY_SIMPLE_NO_COOLDOWN
KZT_RUB,2025-08,6,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
KZT_RUB,2025-09,10,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
KZT_RUB,2025-10,1,1,1.0,POLICY_SIMPLE_NO_COOLDOWN
KZT_RUB,2025-11,10,2,0.2,POLICY_SIMPLE_NO_COOLDOWN
KZT_RUB,2025-12,3,2,0.6666666666666666,POLICY_SIMPLE_NO_COOLDOWN
KZT_RUB,2026-01,9,2,0.2222222222222222,POLICY_SIMPLE_NO_COOLDOWN
KZT_RUB,2026-02,4,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
KZT_RUB,2026-03,6,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
KZT_RUB,2026-04,5,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
KZT_RUB,2026-05,8,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
KZT_RUB,2026-06,2,2,1.0,POLICY_SIMPLE_NO_COOLDOWN
KZT_RUB,2026-07,12,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
KZT_RUB,2026-08,1,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
TJS_RUB,2025-07,0,0,,POLICY_FULL
TJS_RUB,2025-08,5,1,0.2,POLICY_FULL
TJS_RUB,2025-09,2,0,0.0,POLICY_FULL
TJS_RUB,2025-10,3,2,0.6666666666666666,POLICY_FULL
TJS_RUB,2025-11,3,0,0.0,POLICY_FULL
TJS_RUB,2025-12,3,1,0.3333333333333333,POLICY_FULL
TJS_RUB,2026-01,4,2,0.5,POLICY_FULL
TJS_RUB,2026-02,2,1,0.5,POLICY_FULL
TJS_RUB,2026-03,2,0,0.0,POLICY_FULL
TJS_RUB,2026-04,2,0,0.0,POLICY_FULL
TJS_RUB,2026-05,2,0,0.0,POLICY_FULL
TJS_RUB,2026-06,1,0,0.0,POLICY_FULL
TJS_RUB,2026-07,4,0,0.0,POLICY_FULL
TJS_RUB,2026-08,1,0,0.0,POLICY_FULL
TJS_RUB,2025-07,1,0,0.0,POLICY_SIMPLE
TJS_RUB,2025-08,4,1,0.25,POLICY_SIMPLE
TJS_RUB,2025-09,2,0,0.0,POLICY_SIMPLE
TJS_RUB,2025-10,3,2,0.6666666666666666,POLICY_SIMPLE
TJS_RUB,2025-11,3,0,0.0,POLICY_SIMPLE
TJS_RUB,2025-12,3,0,0.0,POLICY_SIMPLE
TJS_RUB,2026-01,3,0,0.0,POLICY_SIMPLE
TJS_RUB,2026-02,1,0,0.0,POLICY_SIMPLE
TJS_RUB,2026-03,2,0,0.0,POLICY_SIMPLE
TJS_RUB,2026-04,5,1,0.2,POLICY_SIMPLE
TJS_RUB,2026-05,2,1,0.5,POLICY_SIMPLE
TJS_RUB,2026-06,0,0,,POLICY_SIMPLE
TJS_RUB,2026-07,4,0,0.0,POLICY_SIMPLE
TJS_RUB,2026-08,2,0,0.0,POLICY_SIMPLE
