corridor,model,MAE_H1,RMSE_H1,DA_H1,MAE_H2,RMSE_H2,DA_H2,MAE_H3,RMSE_H3,DA_H3,MAE_H4,RMSE_H4,DA_H4,MAE_H5,RMSE_H5,DA_H5,Path_MAE_5,Future_Best_MAE_5,Regret_MAE_5,n_forecasts,previous_direct_model,previous_direct_MAE_H5,previous_direct_Path_MAE_5,previous_direct_Future_Best_MAE_5,previous_direct_Regret_MAE_5,naive_MAE_H5,naive_Path_MAE_5,MAE_H5_ratio_vs_previous_direct,MAE_H5_improvement_pct_vs_previous_direct,MAE_H5_practical_status,Path_MAE_5_ratio_vs_previous_direct,Path_MAE_5_improvement_pct_vs_previous_direct,Path_MAE_5_practical_status,Future_Best_MAE_5_ratio_vs_previous_direct,Future_Best_MAE_5_improvement_pct_vs_previous_direct,Future_Best_MAE_5_practical_status,Regret_MAE_5_ratio_vs_previous_direct,Regret_MAE_5_improvement_pct_vs_previous_direct,Regret_MAE_5_practical_status,MAE_H5_ratio_vs_naive,Path_MAE_ratio_vs_naive,Path_MAE_ratio_vs_previous_direct
AMD_RUB,CATBOOST,0.001303169650325278,0.0017369203001261421,0.5745454545454546,0.0019989266161053424,0.002641704688556336,0.5636363636363636,0.002637745065996236,0.003365651283419177,0.5745454545454546,0.0030964543919500746,0.0039034920468423253,0.5272727272727272,0.0034658351248564342,0.004371326114011949,0.5345454545454545,0.0025004261698466732,0.0024750535940092962,0.009825984517961194,275,DIRECT_GRADIENT_BOOSTING,0.0034355047838178,0.0024936822913061,0.0024644504844334,0.0097750156732665,0.0034910545454545,0.0025380879999999,1.0088284962319072,-0.8828496231907179,WORSE,1.0027043856244577,-0.2704385624457739,WORSE,1.0043024234582396,-0.43024234582396126,WORSE,1.0052141957003802,-0.5214195700380175,WORSE,0.9927759878083536,0.9851613379231815,1.0027043856244577
KGS_RUB,CATBOOST,0.005613398787005578,0.007481677046779083,0.56,0.00880781302062254,0.011581245349424837,0.5781818181818181,0.011584923155171015,0.014726117160413865,0.5854545454545454,0.013604781471210588,0.017188593190742226,0.52,0.015227601620425659,0.019245692932813103,0.5163636363636364,0.010967703610887076,0.01086902932488482,0.010247199919636345,275,DIRECT_GRADIENT_BOOSTING,0.015069741748206,0.0108780769619333,0.0108287047647583,0.0101231477304803,0.0152463127272727,0.0110201389090909,1.0104752871586835,-1.047528715868351,WORSE,1.0082391997471074,-0.8239199747107406,WORSE,1.0037238581162315,-0.37238581162315487,WORSE,1.0122543098706867,-1.2254309870686653,WORSE,0.9987727454380776,0.9952418659477542,1.0082391997471074
KZT_RUB,CATBOOST,0.0012195770588848917,0.001630465425018847,0.5781818181818181,0.0018842623419926725,0.0024302615326330496,0.4509090909090909,0.0022918773821462178,0.002971575190455235,0.44727272727272727,0.002648107107024527,0.003461950808969696,0.45454545454545453,0.002905115533639961,0.0038878420182345635,0.4618181818181818,0.002189787884737654,0.0020904842442476222,0.0110979063120226,275,DIRECT_GRADIENT_BOOSTING,0.0029085295000793,0.0021760697012792,0.0020659299546705,0.0109454855558412,0.0029013709090909,0.0021913519999999,0.998826222515795,0.11737774842049964,PRACTICALLY_TIED,1.0063041103188881,-0.6304110318888112,WORSE,1.0118853446708644,-1.188534467086444,WORSE,1.013925444915512,-1.3925444915511953,WORSE,1.001290639723907,0.9992862327630404,1.0063041103188881
TJS_RUB,CATBOOST,0.0544142987740168,0.07359589264776752,0.5563636363636364,0.0847453749792632,0.11112943753453776,0.5636363636363636,0.11136724729435594,0.14027075652807944,0.5672727272727273,0.13000303062568425,0.16262927622038054,0.56,0.14532737956582742,0.1816760493552326,0.5418181818181819,0.10517146624782951,0.10549586485135892,0.010466766949253772,275,DIRECT_RIDGE,0.1407065790508076,0.1027234964697211,0.1037837519802687,0.0100312261152108,0.1459041454545454,0.1060317527272727,1.0328399748340928,-3.2839974834092844,WORSE,1.0238306703163085,-2.3830670316308478,WORSE,1.0164969259486372,-1.6496925948637164,WORSE,1.0434185042825963,-4.34185042825963,WORSE,0.9960469533821598,0.9918865202421396,1.0238306703163085
UZS_RUB,CATBOOST,4.6519936173807597e-05,6.035423242068766e-05,0.5781818181818181,7.391848919477821e-05,9.463089687313462e-05,0.5709090909090909,9.622928300895278e-05,0.00011995376713152078,0.5054545454545455,0.00010681461735743527,0.0001352372163975931,0.5018181818181818,0.00011849171717100784,0.00014846853209523215,0.5345454545454545,8.839480858119634e-05,8.556215195256112e-05,0.01106305380893578,275,DIRECT_GRADIENT_BOOSTING,0.0001184893462485,8.767128030019199e-05,8.452201720754434e-05,0.0108602304832787,0.0001191855272727,8.901888727272726e-05,1.0000200095838394,-0.0020009583839408762,WORSE,1.0082527399911,-0.82527399911001,WORSE,1.0123060804673263,-1.2306080467326286,WORSE,1.0186757846409762,-1.867578464097619,WORSE,0.9941787386642617,0.9929893676426337,1.0082527399911
