date,type,corridor,label,rate
2025-01-08,Кандидат,UZS_RUB,1,0.00786965
2025-01-09,Closing,AMD_RUB,0,0.256456
2025-01-09,Closing,KGS_RUB,0,1.16874
2025-01-09,Closing,KZT_RUB,0,0.19486
2025-01-09,Closing,TJS_RUB,0,9.30026
2025-01-09,Closing,UZS_RUB,0,0.00786965
2025-01-09,Fact,AMD_RUB,0,0.256456
2025-01-09,Fact,KGS_RUB,0,1.16874
2025-01-09,Fact,KZT_RUB,0,0.19486
2025-01-09,Fact,TJS_RUB,0,9.30026
2025-01-09,Fact,UZS_RUB,0,0.00786965
2025-01-09,Good day,AMD_RUB,0,0.256456
2025-01-09,Good day,KGS_RUB,0,1.16874
2025-01-09,Good day,KZT_RUB,0,0.19486
2025-01-09,Good day,TJS_RUB,0,9.30026
2025-01-09,Good day,UZS_RUB,0,0.00786965
2025-01-09,Кандидат,AMD_RUB,1,0.256456
2025-01-09,Кандидат,KGS_RUB,1,1.16874
2025-01-09,Кандидат,KZT_RUB,1,0.19486
2025-01-09,Кандидат,TJS_RUB,1,9.30026
2025-01-09,Кандидат,UZS_RUB,1,0.00786965
2025-01-10,Closing,AMD_RUB,0,0.257758
2025-01-10,Closing,KGS_RUB,0,1.17576
2025-01-10,Closing,KZT_RUB,0,0.194016
2025-01-10,Closing,TJS_RUB,0,9.35036
2025-01-10,Closing,UZS_RUB,0,0.00789102
2025-01-10,Fact,AMD_RUB,0,0.257758
2025-01-10,Fact,KGS_RUB,0,1.17576
2025-01-10,Fact,KZT_RUB,0,0.194016
2025-01-10,Fact,TJS_RUB,0,9.35036
2025-01-10,Fact,UZS_RUB,0,0.00789102
2025-01-10,Good day,AMD_RUB,0,0.257758
2025-01-10,Good day,KGS_RUB,0,1.17576
2025-01-10,Good day,KZT_RUB,0,0.194016
2025-01-10,Good day,TJS_RUB,0,9.35036
2025-01-10,Good day,UZS_RUB,0,0.00789102
2025-01-10,Кандидат,AMD_RUB,1,0.257758
2025-01-10,Кандидат,KGS_RUB,1,1.17576
