corridor,model,p,d,q,validation_MAE_H1,validation_RMSE_H1,validation_DA_H1,validation_n_forecasts_H1,validation_MAE_H3,validation_RMSE_H3,validation_DA_H3,validation_n_forecasts_H3,validation_MAE_H5,validation_RMSE_H5,validation_DA_H5,validation_n_forecasts_H5,validation_MAE_H10,validation_RMSE_H10,validation_DA_H10,validation_n_forecasts_H10,validation_Path_MAE_5,validation_Future_Best_MAE_5,validation_Regret_MAE_5,validation_Path_MAE_10,validation_Future_Best_MAE_10,validation_Regret_MAE_10,test_MAE_H1,test_RMSE_H1,test_DA_H1,test_n_forecasts_H1,test_MAE_H3,test_RMSE_H3,test_DA_H3,test_n_forecasts_H3,test_MAE_H5,test_RMSE_H5,test_DA_H5,test_n_forecasts_H5,test_MAE_H10,test_RMSE_H10,test_DA_H10,test_n_forecasts_H10,test_Path_MAE_5,test_Future_Best_MAE_5,test_Regret_MAE_5,test_Path_MAE_10,test_Future_Best_MAE_10,test_Regret_MAE_10,MAE_ratio_vs_naive_H1,RMSE_ratio_vs_naive_H1,MAE_improvement_pct_H1,MAE_ratio_vs_naive_H3,RMSE_ratio_vs_naive_H3,MAE_improvement_pct_H3,MAE_ratio_vs_naive_H5,RMSE_ratio_vs_naive_H5,MAE_improvement_pct_H5,MAE_ratio_vs_naive_H10,RMSE_ratio_vs_naive_H10,MAE_improvement_pct_H10,Path_MAE_ratio_vs_naive_H5,Future_Best_MAE_ratio_vs_naive_H5,Regret_MAE_ratio_vs_naive_H5,Path_MAE_ratio_vs_naive_H10,Future_Best_MAE_ratio_vs_naive_H10,Regret_MAE_ratio_vs_naive_H10,n_forecasts_H1,n_forecasts_H3,n_forecasts_H5,n_forecasts_H10
AMD_RUB,ARIMA_RATE,0,1,0,0.001685405109489,0.0024642464528313,0.0,274,0.0033318248175182,0.0047726754084836,0.0,274,0.0041888576642335,0.0060332315029852,0.0,274,0.0056467737226277,0.0076320508254937,0.0,274,0.0031381970802919,0.0037641131386861,0.0141386293043685,0.0041468817518248,0.0057874233576642,0.0232170938781911,0.0013345854545454546,0.0017649724746759189,0.0,275,0.002688574545454545,0.003413420388567881,0.0,275,0.0034910545454545448,0.0044128337471515955,0.0,275,0.00490702909090909,0.006205209704756157,0.0,275,0.002538087999999999,0.002492145454545454,0.010044572943237661,0.0034511032727272723,0.003455094545454544,0.01512399616444329,1.0000000000000409,1.0000000000000107,-4.085620730620576e-12,1.0000000000000167,1.0000000000000238,-1.6653345369377348e-12,1.0000000000000129,1.0000000000000215,-1.2878587085651816e-12,1.0000000000000184,1.000000000000009,-1.84297022087776e-12,1.000000000000039,1.0000000000000218,1.000000000000006,1.000000000000021,1.0000000000000129,1.000000000000006,275,275,275,275
KGS_RUB,ARIMA_RATE,0,1,0,0.0075020291970802,0.0111402050741846,0.0,274,0.0148133357664233,0.0209670092869239,0.0,274,0.0181136934306569,0.0263347541359599,0.0,274,0.0250878321167883,0.0343191088959016,0.0,274,0.0138039970802919,0.0166322919708029,0.0138909924690941,0.0181560744525547,0.0256059306569342,0.0228266338329534,0.005721629090909087,0.007619563976549266,0.0,275,0.011664123636363636,0.014826180507099287,0.0,275,0.015246312727272728,0.019269969243547656,0.0,275,0.02164938181818182,0.027256261735808696,0.0,275,0.011020138909090907,0.011122149090909085,0.010534081394107032,0.015094249454545454,0.01575925454545454,0.0161330522871972,1.0000000000000153,1.0000000000000087,-1.532107773982716e-12,1.000000000000003,1.0000000000000058,-3.1086244689504383e-13,1.0000000000000018,1.0000000000000029,-1.7763568394002505e-13,1.0000000000000009,1.0000000000000036,-8.881784197001252e-14,1.0000000000000007,1.0000000000000075,1.000000000000003,1.0000000000000036,1.0000000000000024,1.0,275,275,275,275
KZT_RUB,ARIMA_RATE,0,1,2,0.001545756226621,0.0022614118034977,0.5948905109489051,274,0.0027462371036653,0.0039838053572578,0.5985401459854015,274,0.0033903878148368,0.0048841063488779,0.5912408759124088,274,0.0046794252991778,0.0062672349753817,0.583941605839416,274,0.002623344269383,0.003316688646903,0.0159218655878105,0.0034082835700925,0.0051427554388114,0.0262385213329972,0.0012421955801494673,0.001659010590329733,0.5418181818181819,275,0.002291013404136661,0.0029786485689931442,0.48727272727272725,275,0.0028823826712289402,0.003885557275263048,0.5236363636363637,275,0.004266009541443012,0.005703042479914407,0.44727272727272727,275,0.002190458504805439,0.002112769021071288,0.011016724753493053,0.002927739832762647,0.002817422338175161,0.015863958311684277,1.000341988248765,1.0035959937034258,-0.034198824876496836,1.001170658672912,1.0036527728386384,-0.1170658672912106,0.9934554255705591,1.0018713010281979,0.6544574429440897,1.0035960712544674,1.0037925609707041,-0.359607125446737,0.9995922630437917,0.9945233499448216,0.9738098992794537,1.0000583220577703,0.9960022457847101,0.9769108766273416,275,275,275,275
TJS_RUB,ARIMA_RATE,0,1,0,0.0638485766423357,0.0934724295996176,0.0,274,0.126881204379562,0.176388653142143,0.0,274,0.1570813138686131,0.2226273287553868,0.0,274,0.2184748175182482,0.290077100069398,0.0,274,0.1184994817518248,0.1363353649635035,0.0138308009895912,0.1579902554744525,0.2067623722627736,0.0225649644709999,0.05492236363636372,0.07408965809072145,0.0036363636363636364,275,0.11271549090909092,0.14146238002959075,0.0,275,0.14590414545454547,0.1822370224415545,0.0,275,0.20321916363636364,0.25526732412832703,0.0,275,0.10603175272727275,0.10559909090909095,0.010581579709710553,0.14412904727272727,0.14864392727272724,0.01616138107661548,1.0000000000000004,1.0000000000000007,-4.440892098500626e-14,1.0000000000000002,1.0000000000000004,-2.220446049250313e-14,1.0000000000000007,1.0,-6.661338147750939e-14,1.0000000000000002,1.0000000000000002,-2.220446049250313e-14,1.0000000000000004,1.0000000000000004,1.000000000000005,1.0000000000000004,1.0000000000000002,1.0000000000000049,275,275,275,275
UZS_RUB,ARIMA_RATE,0,1,0,5.281653284671536e-05,7.652277041251082e-05,0.0,274,0.0001042485036496,0.0001462783945372,0.0,274,0.0001283145620437,0.0001826398016988,0.0,274,0.0001781100364963,0.0002402069249299,0.0,274,9.759163503649634e-05,0.0001164889781021,0.0144165724513399,0.0001288764854014,0.0001781182481751,0.0235528527242589,4.765279999999998e-05,6.155299722707549e-05,0.007272727272727273,275,9.618916363636364e-05,0.0001200010546014265,0.0,275,0.00011918552727272726,0.00014912682010837744,0.0,275,0.00016656803636363635,0.0002088666358447201,0.0,275,8.901888727272726e-05,8.75729454545454e-05,0.011373335401871236,0.0001182921490909091,0.00011930363636363633,0.01675308633584344,1.0,1.0,0.0,1.0,1.0000000000002207,0.0,1.0000000000002287,1.0000000000005194,-2.2870594307278225e-11,1.0000000000002183,1.0000000000000964,-2.1826984664130578e-11,1.0,1.0,1.000000000000003,1.000000000000077,1.0000000000003044,1.0000000000000024,275,275,275,275
