corridor,selected_rule,F,A,R,validation_frequency,validation_hit_rate,validation_uplift,status
AMD_RUB,F=0.900|A=0.000|R=0.002,0.9,0.0,0.002,0.09854014598540146,0.4074074074074074,2.7754415475189234,VALIDATED_RULE
KGS_RUB,F=0.850|A=0.002|R=0.010,0.85,0.002,0.01,0.10948905109489052,0.3333333333333333,2.405773857257418,VALIDATED_RULE
KZT_RUB,F=0.900|A=0.002|R=0.002,0.9,0.002,0.002,0.09854014598540146,0.5185185185185185,3.047895500725689,VALIDATED_RULE
TJS_RUB,F=0.850|A=NONE|R=0.002,0.85,,0.002,0.28102189781021897,0.42857142857142855,3.449477351916377,VALIDATED_RULE
UZS_RUB,F=0.800|A=0.000|R=0.002,0.8,0.0,0.002,0.10218978102189781,0.39285714285714285,2.396514161220044,VALIDATED_RULE
