corridor,date,good_day_candidate,window_closing_candidate,positive_market_fact_candidate,suppressed_by_priority,suppressed_by_cooldown_only,suppressed_by_weekly_cap,deferred_1d,final_push,final_push_type,final_push_reason
AMD_RUB,2026-01-22,True,False,True,True,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-01-23,True,False,True,True,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-01-27,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2026-01-28,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-01-29,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-01-30,True,False,True,True,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-02-02,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2026-02-19,True,False,True,True,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-02-20,True,False,False,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-02-24,True,False,False,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-02-25,True,False,False,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-02-26,True,False,False,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-03-26,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-03-27,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-04-03,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-04-07,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2026-04-08,True,False,True,True,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-04-09,True,False,True,True,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-04-10,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-04-14,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-04-15,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-04-16,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-04-17,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-04-22,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-04-23,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-04-24,False,False,True,False,True,False,False,False,none,COOLDOWN
