corridor,model_family,feature,is_temporal_enrichment,importance,rank
KGS_RUB,DIRECT_GRADIENT_BOOSTING,momentum_spread,True,0.0797878123386381,4
KGS_RUB,DIRECT_GRADIENT_BOOSTING,reversal_strength,False,0.06997711461324405,5
KGS_RUB,DIRECT_GRADIENT_BOOSTING,dist_min_20,False,0.0444265899297125,6
KGS_RUB,DIRECT_GRADIENT_BOOSTING,corridor_specific_return_1_lag2,True,0.03716642603891255,7
KGS_RUB,DIRECT_GRADIENT_BOOSTING,ret_5,False,0.035204313764860856,8
KGS_RUB,DIRECT_GRADIENT_BOOSTING,corridor_specific_return_1_lag3,True,0.034019166501397226,9
KGS_RUB,DIRECT_GRADIENT_BOOSTING,vol_20_change_3,True,0.030794531975936443,10
KGS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_1_lag2,True,0.030728666292451953,11
KGS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_3,False,0.029525800626475543,12
KGS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_5,False,0.029486582329265404,13
KGS_RUB,DIRECT_GRADIENT_BOOSTING,vol_5,False,0.025340765192352004,14
KGS_RUB,DIRECT_GRADIENT_BOOSTING,ret_1_lag1,True,0.023717495353260114,15
KGS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_1_lag1,True,0.022479735472383754,16
KGS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_1,False,0.02032796700924909,17
KGS_RUB,DIRECT_GRADIENT_BOOSTING,corridor_specific_return_1_lag1,True,0.017692593935133543,18
KGS_RUB,DIRECT_GRADIENT_BOOSTING,ret_1,False,0.015875813309569768,19
KGS_RUB,DIRECT_GRADIENT_BOOSTING,ret_1_lag2,True,0.014099218034538114,20
KGS_RUB,DIRECT_GRADIENT_BOOSTING,ret_3,False,0.013528972677887935,21
KGS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_1_lag3,True,0.012226348869452614,22
KGS_RUB,DIRECT_GRADIENT_BOOSTING,vol_ratio_20_60,True,0.010317143701902084,23
KGS_RUB,DIRECT_GRADIENT_BOOSTING,ret_1_lag3,True,0.010078622431327872,24
KGS_RUB,DIRECT_GRADIENT_BOOSTING,corridor_specific_return_1,False,0.005788958671392731,25
