corridor,model,MAE_H1,RMSE_H1,DA_H1,MAE_H2,RMSE_H2,DA_H2,MAE_H3,RMSE_H3,DA_H3,MAE_H4,RMSE_H4,DA_H4,MAE_H5,RMSE_H5,DA_H5,Path_MAE_5,Future_Best_MAE_5,Regret_MAE_5,n_forecasts,MAE_ratio_vs_naive_H5,beats_naive_H5
AMD_RUB,ARIMA_RATE,0.0013345854545454546,0.0017649724746759189,0.0,0.002044258181818182,0.002687048773113526,0.0,0.002688574545454545,0.003413420388567881,0.0,0.003131967272727272,0.003948307943686993,0.0,0.0034910545454545448,0.0044128337471515955,0.0,0.002538087999999999,0.002492145454545454,0.010044572943237661,275,1.0,False
AMD_RUB,DIRECT_GRADIENT_BOOSTING,0.0013105459213727524,0.001743200305640366,0.5745454545454546,0.001991669824315069,0.0026373404939108677,0.5890909090909091,0.002652480765117757,0.003384384478150952,0.5272727272727272,0.0030782101619073942,0.0038998138644267145,0.5818181818181818,0.0034355047838178425,0.004343694405590078,0.5563636363636364,0.002493682291306163,0.0024644504844334066,0.009775015673266513,275,0.9840879708657002,True
AMD_RUB,DIRECT_RIDGE,0.0013270205187020253,0.0017560345005317238,0.5527272727272727,0.002002694634939853,0.00267807344136751,0.5781818181818181,0.0026400122655004027,0.0033861050833436882,0.5527272727272727,0.003079710927114143,0.003918609031572021,0.5745454545454546,0.0034623109697543503,0.004386890659221943,0.5672727272727273,0.002502349863202155,0.002467116179047308,0.009626742144438127,275,0.9917665062731205,True
AMD_RUB,NAIVE,0.0013345854545454546,0.0017649724746759189,0.0,0.002044258181818182,0.002687048773113526,0.0,0.002688574545454545,0.003413420388567881,0.0,0.003131967272727272,0.003948307943686993,0.0,0.0034910545454545448,0.0044128337471515955,0.0,0.002538087999999999,0.002492145454545454,0.010044572943237661,275,1.0,False
KGS_RUB,ARIMA_RATE,0.005721629090909087,0.007619563976549266,0.0,0.008859861818181816,0.011634427667448488,0.0,0.011664123636363636,0.014826180507099287,0.0,0.013608767272727272,0.017201353886144067,0.0,0.015246312727272728,0.019269969243547656,0.0,0.011020138909090907,0.011122149090909085,0.010534081394107032,275,1.0,False
KGS_RUB,DIRECT_GRADIENT_BOOSTING,0.005663766528031888,0.007535833197286571,0.5527272727272727,0.008592455069021574,0.01137069260729896,0.6181818181818182,0.011601894799153023,0.014738723075664279,0.56,0.013462526665254028,0.017101146405841598,0.5927272727272728,0.015069741748206062,0.018988945186304975,0.56,0.010878076961933315,0.010828704764758328,0.010123147730480316,275,0.9884187749375747,True
KGS_RUB,DIRECT_RIDGE,0.005779371131533572,0.007545754381860443,0.5163636363636364,0.008854624841551882,0.011588322027188082,0.52,0.01164551722087478,0.014826653997890949,0.5127272727272727,0.013552028427414155,0.01726655583720147,0.5563636363636364,0.01522808302216166,0.01942387547528392,0.5636363636363636,0.011011924928707208,0.010577555371541057,0.009805435927683591,275,0.9988043203994853,True
KGS_RUB,NAIVE,0.005721629090909087,0.007619563976549266,0.0,0.008859861818181816,0.011634427667448488,0.0,0.011664123636363636,0.014826180507099287,0.0,0.013608767272727272,0.017201353886144067,0.0,0.015246312727272728,0.019269969243547656,0.0,0.011020138909090907,0.011122149090909085,0.010534081394107032,275,1.0,False
KZT_RUB,ARIMA_RATE,0.0012421955801494725,0.001659010590329737,0.5418181818181819,0.0019091217068533928,0.0024443951652074677,0.4618181818181818,0.002291013404136664,0.0029786485689931473,0.48727272727272725,0.002627579161658741,0.003468490234439213,0.5381818181818182,0.0028823826712289424,0.0038855572752630524,0.5236363636363637,0.0021904585048054424,0.002112769021071274,0.011016724753493015,275,0.9934554255705568,True
KZT_RUB,DIRECT_GRADIENT_BOOSTING,0.00122865065949174,0.0016264118898935013,0.5818181818181818,0.001853065152994513,0.0023830333771597454,0.5927272727272728,0.0022725141382731033,0.002913859491869203,0.4763636363636364,0.0026175890555573656,0.0034196586623678267,0.5636363636363636,0.002908529500079392,0.0038652958875787596,0.5309090909090909,0.0021760697012792227,0.002065929954670554,0.010945485555841288,275,1.002467313284921,False
KZT_RUB,DIRECT_RIDGE,0.0012779544004154853,0.0016806611776454888,0.5309090909090909,0.0019803167300291025,0.002533679953923346,0.48363636363636364,0.0023515536161905206,0.0030395531402696518,0.4909090909090909,0.0027413059764939693,0.00358010615792961,0.5345454545454545,0.0030998200751179983,0.0040595019872530745,0.46545454545454545,0.0022901901596494153,0.0021241593241824765,0.011118997434047236,275,1.0683984131106041,False
KZT_RUB,NAIVE,0.0012417709090909081,0.0016530661747739613,0.0,0.0018817890909090908,0.0024281634616235438,0.0,0.0022883345454545456,0.002967807841120812,0.0,0.0026434945454545445,0.003457193690631962,0.0,0.0029013709090909092,0.0038782998088431383,0.0,0.0021913519999999997,0.0021244036363636367,0.011313013722333901,275,1.0,False
TJS_RUB,ARIMA_RATE,0.05492236363636372,0.07408965809072145,0.0036363636363636364,0.08560359999999997,0.11181759901001109,0.0,0.11271549090909092,0.14146238002959075,0.0,0.13101316363636364,0.16385995095368927,0.0,0.14590414545454547,0.1822370224415545,0.0,0.10603175272727275,0.10559909090909095,0.010581579709710553,275,1.0,False
