file,rule,description,horizon_days,x_bps,corridor,rows,good_days,good_share,good_episodes,median_regret_bps
centered_mean_benefit__h-01__x-025bps.parquet,centered_mean_benefit,Курс T лучше среднего в окне T±h минимум на X bps.,1,25,UZS_RUB,270,62,0.22962962962962963,52,0.0
centered_mean_benefit__h-01__x-050bps.parquet,centered_mean_benefit,Курс T лучше среднего в окне T±h минимум на X bps.,1,50,AMD_RUB,270,19,0.07037037037037037,18,0.0
centered_mean_benefit__h-01__x-050bps.parquet,centered_mean_benefit,Курс T лучше среднего в окне T±h минимум на X bps.,1,50,KGS_RUB,270,19,0.07037037037037037,18,0.0
centered_mean_benefit__h-01__x-050bps.parquet,centered_mean_benefit,Курс T лучше среднего в окне T±h минимум на X bps.,1,50,KZT_RUB,270,35,0.12962962962962962,32,0.0
centered_mean_benefit__h-01__x-050bps.parquet,centered_mean_benefit,Курс T лучше среднего в окне T±h минимум на X bps.,1,50,TJS_RUB,270,23,0.08518518518518518,20,0.0
centered_mean_benefit__h-01__x-050bps.parquet,centered_mean_benefit,Курс T лучше среднего в окне T±h минимум на X bps.,1,50,UZS_RUB,270,24,0.08888888888888889,22,0.0
centered_mean_benefit__h-01__x-100bps.parquet,centered_mean_benefit,Курс T лучше среднего в окне T±h минимум на X bps.,1,100,AMD_RUB,270,2,0.007407407407407408,2,0.0
centered_mean_benefit__h-01__x-100bps.parquet,centered_mean_benefit,Курс T лучше среднего в окне T±h минимум на X bps.,1,100,KGS_RUB,270,2,0.007407407407407408,2,0.0
centered_mean_benefit__h-01__x-100bps.parquet,centered_mean_benefit,Курс T лучше среднего в окне T±h минимум на X bps.,1,100,KZT_RUB,270,5,0.018518518518518517,5,0.0
centered_mean_benefit__h-01__x-100bps.parquet,centered_mean_benefit,Курс T лучше среднего в окне T±h минимум на X bps.,1,100,TJS_RUB,270,3,0.011111111111111112,3,0.0
centered_mean_benefit__h-01__x-100bps.parquet,centered_mean_benefit,Курс T лучше среднего в окне T±h минимум на X bps.,1,100,UZS_RUB,270,3,0.011111111111111112,3,0.0
future_median_benefit__h-01__x-025bps.parquet,future_median_benefit,Курс T лучше медианы следующих h дней минимум на X bps.,1,25,AMD_RUB,270,73,0.27037037037037037,51,0.0
future_median_benefit__h-01__x-025bps.parquet,future_median_benefit,Курс T лучше медианы следующих h дней минимум на X bps.,1,25,KGS_RUB,270,72,0.26666666666666666,51,0.0
future_median_benefit__h-01__x-025bps.parquet,future_median_benefit,Курс T лучше медианы следующих h дней минимум на X bps.,1,25,KZT_RUB,270,86,0.31851851851851853,59,0.0
future_median_benefit__h-01__x-025bps.parquet,future_median_benefit,Курс T лучше медианы следующих h дней минимум на X bps.,1,25,TJS_RUB,270,81,0.3,59,0.0
future_median_benefit__h-01__x-025bps.parquet,future_median_benefit,Курс T лучше медианы следующих h дней минимум на X bps.,1,25,UZS_RUB,270,92,0.34074074074074073,56,0.0
future_median_benefit__h-01__x-050bps.parquet,future_median_benefit,Курс T лучше медианы следующих h дней минимум на X bps.,1,50,AMD_RUB,270,56,0.2074074074074074,41,0.0
future_median_benefit__h-01__x-050bps.parquet,future_median_benefit,Курс T лучше медианы следующих h дней минимум на X bps.,1,50,KGS_RUB,270,54,0.2,38,0.0
future_median_benefit__h-01__x-050bps.parquet,future_median_benefit,Курс T лучше медианы следующих h дней минимум на X bps.,1,50,KZT_RUB,270,62,0.22962962962962963,46,0.0
future_median_benefit__h-01__x-050bps.parquet,future_median_benefit,Курс T лучше медианы следующих h дней минимум на X bps.,1,50,TJS_RUB,270,56,0.2074074074074074,41,0.0
future_median_benefit__h-01__x-050bps.parquet,future_median_benefit,Курс T лучше медианы следующих h дней минимум на X bps.,1,50,UZS_RUB,270,63,0.23333333333333334,47,0.0
future_median_benefit__h-01__x-100bps.parquet,future_median_benefit,Курс T лучше медианы следующих h дней минимум на X bps.,1,100,AMD_RUB,270,24,0.08888888888888889,18,0.0
future_median_benefit__h-01__x-100bps.parquet,future_median_benefit,Курс T лучше медианы следующих h дней минимум на X bps.,1,100,KGS_RUB,270,24,0.08888888888888889,17,0.0
