corridor,событий,первое,последнее,медианное_движение,рубль_укрепился_доля,совпало_с_main_proxy,медианный_интервал_дней
AMD_RUB,135,2019-02-19,2026-09-03,0.029404488870067746,0.42962962962962964,0.05925925925925926,14.0
KGS_RUB,142,2019-02-16,2026-09-03,0.02830662993774441,0.4859154929577465,0.056338028169014086,13.0
KZT_RUB,132,2019-02-23,2026-08-28,0.025143005190508216,0.5,0.09090909090909091,14.0
TJS_RUB,140,2019-02-22,2026-09-03,0.02811494534748188,0.4785714285714286,0.09285714285714286,14.0
UZS_RUB,137,2019-02-16,2026-08-29,0.027935893281037516,0.5109489051094891,0.10948905109489052,13.5
