правило,событий,доля недель направления,"медианный интервал, дней",медианное движение,доля «рубль укрепился»,совпадение с заменой основного,разброс годовой частоты (CV)
Простой порог ≥1%,1096,0.5577608142493639,11.0,0.01472441424380544,0.510036496350365,0.09580291970802919,0.22189091471500869
Необычное движение за 5 обновлений,686,0.34910941475826973,14.0,0.027998151890184564,0.48104956268221577,0.08163265306122448,0.16201638952933353
Рывок после спокойного периода,99,0.050381679389312976,57.0,0.009775839888887639,0.5858585858585859,0.20202020202020202,0.6370076136360752
Смена направления,564,0.2870229007633588,17.0,0.02166707881525809,0.524822695035461,0.09397163120567376,0.31258531173428744
